Locus	Sequences	Columns	Dist_Pat	Pars_Info	Sing_Sites	Cons_Sites	Chi2_Fail	Gaps_Ambig
Reeder_DNA_ADNP	134	801	626	403	68	330	1	0
Reeder_DNA_AHR	116	469	429	345	66	58	1	1
Reeder_DNA_AKAP9	121	968	921	766	97	105	5	1
Reeder_DNA_BACH1	87	1341	1218	974	99	268	2	0
Reeder_DNA_BDNF	149	691	344	261	53	376	1	0
Reeder_DNA_BHLHB2	105	773	553	452	46	275	3	0
Reeder_DNA_BMP2	135	648	448	343	46	259	4	0
Reeder_DNA_CAND1	141	759	380	295	23	441	1	1
Reeder_DNA_CARD4	145	954	795	674	72	208	7	1
Reeder_DNA_CILP	145	1461	1166	940	122	399	29	10
Reeder_DNA_CXCR4	143	738	503	393	50	295	4	0
Reeder_DNA_DLL1	128	579	412	283	61	235	5	0
Reeder_DNA_ECEL	128	579	459	354	58	167	14	0
Reeder_DNA_ENC1	136	888	594	347	76	465	4	4
Reeder_DNA_FSHR	146	753	485	365	68	320	8	0
Reeder_DNA_FSTL5	133	622	390	302	64	256	2	1
Reeder_DNA_GALR1	131	423	283	206	42	175	5	0
Reeder_DNA_GHSR	120	447	287	214	26	207	10	1
Reeder_DNA_GPR37	123	509	325	229	18	262	5	0
Reeder_DNA_HLCS	130	594	533	457	50	87	3	0
Reeder_DNA_INHIBA	118	744	534	372	72	300	10	0
Reeder_DNA_LRRN1	132	681	402	274	69	338	2	0
Reeder_DNA_LZTSS1	102	552	459	344	63	145	13	1
Reeder_DNA_MKL1	143	1053	852	673	86	294	14	0
Reeder_DNA_MLL3	105	960	874	671	97	192	31	7
Reeder_DNA_MSH6	137	690	564	462	48	180	4	1
Reeder_DNA_ND2	128	1065	989	919	53	93	47	1
Reeder_DNA_NGFB	145	594	521	414	65	115	3	0
Reeder_DNA_NKTR	112	1304	1186	975	101	228	38	13
Reeder_DNA_NTF3	141	531	417	345	39	147	43	0
Reeder_DNA_PNN	137	1197	949	717	139	341	3	0
Reeder_DNA_PRLR	105	585	578	524	39	22	2	0
Reeder_DNA_PTGER4	120	471	330	219	27	225	29	0
Reeder_DNA_PTPN	110	688	633	519	62	107	17	11
Reeder_DNA_R35	144	738	638	554	47	137	7	1
Reeder_DNA_RAG1	137	1091	734	551	89	451	6	0
Reeder_DNA_SINCAIP	134	498	387	291	63	144	3	0
Reeder_DNA_SLC30A1	147	555	370	336	19	200	3	0
Reeder_DNA_SLC8A1	150	996	533	405	47	544	4	0
Reeder_DNA_SLC8A3	144	1107	660	512	87	508	2	0
Reeder_DNA_TRAF6	148	651	502	403	62	186	5	0
Reeder_DNA_UBN1	99	737	678	514	70	153	14	3
Reeder_DNA_VCPIP1	141	801	441	352	38	411	22	0
Reeder_DNA_ZEB2	147	885	513	366	88	431	0	0
Reeder_DNA_ZFP36L1	137	611	361	273	45	293	5	0
Reeder_DNA_cMos	132	891	738	544	88	259	8	37
