Locus	MEAN_COL_SCORE
AHE-L102	0.989917	
AHE-L104	0.971720	
AHE-L105	1.000000	
AHE-L106	0.948405	
AHE-L108	0.985531	
AHE-L111	0.980723	
AHE-L112	0.966524	
AHE-L114	0.996413	
AHE-L118	0.978808	
AHE-L119	0.977749	
AHE-L11	0.949586	
AHE-L123	0.869410	
AHE-L124	0.991327	
AHE-L125	0.993671	
AHE-L129	0.969925	
AHE-L12	0.945489	
AHE-L130	0.975196	
AHE-L135	0.977778	
AHE-L13	0.876833	
AHE-L142	0.868732	
AHE-L144	0.993252	
AHE-L145	0.988996	
AHE-L146	0.987866	
AHE-L148	0.982590	
AHE-L14	0.946075	
AHE-L152	0.998381	
AHE-L154	0.987284	
AHE-L155	0.929389	
AHE-L156	0.952463	
AHE-L158	0.997356	
AHE-L159	1.000000	
AHE-L15	0.998519	
AHE-L160	0.975630	
AHE-L164	0.976808	
AHE-L165	0.978452	
AHE-L16	0.985202	
AHE-L170	0.993395	
AHE-L171	0.964242	
AHE-L172	0.972396	
AHE-L173	0.878007	
AHE-L176	0.979718	
AHE-L177	0.982379	
AHE-L178	0.997901	
AHE-L179	0.952676	
AHE-L17	1.000000	
AHE-L180	0.970612	
AHE-L182	0.984474	
AHE-L184	1.000000	
AHE-L185	0.957293	
AHE-L187	0.963945	
AHE-L188	0.955665	
AHE-L189	1.000000	
AHE-L18	0.978567	
AHE-L190	0.972775	
AHE-L191	0.998000	
AHE-L192	0.967056	
AHE-L193	0.987817	
AHE-L194	1.000000	
AHE-L195	0.996694	
AHE-L19	0.978646	
AHE-L1	0.986711	
AHE-L200	0.962532	
AHE-L203	0.998720	
AHE-L204	0.886861	
AHE-L205	0.965517	
AHE-L206	0.989391	
AHE-L207	0.988722	
AHE-L208	0.986879	
AHE-L20	0.983280	
AHE-L210	0.994937	
AHE-L211	0.989784	
AHE-L214	0.930616	
AHE-L215	1.000000	
AHE-L219	0.991150	
AHE-L220	0.989362	
AHE-L221	0.968225	
AHE-L222	0.979959	
AHE-L223	0.876033	
AHE-L224	1.000000	
AHE-L225	0.989443	
AHE-L226	1.000000	
AHE-L22	0.984436	
AHE-L231	0.983415	
AHE-L232	0.984469	
AHE-L23	0.982497	
AHE-L241	0.886654	
AHE-L243	0.986744	
AHE-L244	0.983461	
AHE-L245	0.907781	
AHE-L24	0.965674	
AHE-L250	0.963790	
AHE-L256	0.885762	
AHE-L257	0.954119	
AHE-L259	0.994475	
AHE-L25	0.973729	
AHE-L260	0.998808	
AHE-L261	0.960608	
AHE-L262	0.978836	
AHE-L264	0.980105	
AHE-L265	0.924635	
AHE-L267	0.992537	
AHE-L269	1.000000	
AHE-L271	0.994994	
AHE-L273	1.000000	
AHE-L276	0.988126	
AHE-L27	0.981481	
AHE-L282	0.970190	
AHE-L283	0.990638	
AHE-L284	0.988842	
AHE-L285	0.985269	
AHE-L286	1.000000	
AHE-L288	0.981144	
AHE-L289	1.000000	
AHE-L28	0.959329	
AHE-L290	0.991480	
AHE-L291	0.985869	
AHE-L295	0.995819	
AHE-L296	1.000000	
AHE-L297	0.990788	
AHE-L2	0.993243	
AHE-L305	0.962830	
AHE-L306	0.975518	
AHE-L307	0.979371	
AHE-L309	0.998729	
AHE-L30	0.963170	
AHE-L311	0.998507	
AHE-L314	0.985965	
AHE-L315	1.000000	
AHE-L317	0.975556	
AHE-L318	0.993599	
AHE-L31	0.951489	
AHE-L321	1.000000	
AHE-L322	0.989770	
AHE-L326	0.996004	
AHE-L327	0.995575	
AHE-L32	0.992958	
AHE-L333	0.978281	
AHE-L33	0.965300	
AHE-L340	0.994356	
AHE-L341	0.971204	
AHE-L342	0.984155	
AHE-L343	1.000000	
AHE-L347	0.980120	
AHE-L34	0.986657	
AHE-L350	0.961722	
AHE-L351	0.971800	
AHE-L352	0.977477	
AHE-L354	1.000000	
AHE-L356	0.979107	
AHE-L357	0.987689	
AHE-L361	0.989418	
AHE-L362	0.975883	
AHE-L364	0.979079	
AHE-L365	0.997549	
AHE-L366	0.994898	
AHE-L368	0.973048	
AHE-L369	0.986796	
AHE-L36	0.990838	
AHE-L371	1.000000	
AHE-L372	0.960879	
AHE-L377	0.994033	
AHE-L378	0.973311	
AHE-L379	0.985449	
AHE-L380	0.994465	
AHE-L381	0.980115	
AHE-L382	0.820992	
AHE-L386	0.969325	
AHE-L388	0.993377	
AHE-L390	0.976567	
AHE-L391	0.981505	
AHE-L393	0.993468	
AHE-L394	0.961679	
AHE-L395	0.975896	
AHE-L397	0.986949	
AHE-L399	0.967882	
AHE-L39	0.995126	
AHE-L400	1.000000	
AHE-L401	1.000000	
AHE-L40	0.880076	
AHE-L41	0.989086	
AHE-L42	1.000000	
AHE-L49	0.949626	
AHE-L4	0.985816	
AHE-L51	0.954927	
AHE-L52	0.991247	
AHE-L53	0.853165	
AHE-L55	0.993166	
AHE-L56	0.990833	
AHE-L57	0.985222	
AHE-L58	0.954825	
AHE-L59	0.841221	
