Locus	Sclero	ToxPoly
AHE-L1	-14082.79	-14058.04	
AHE-L102	-12134.19	-12108.26	
AHE-L104	-11568.83	-11537.06	
AHE-L105	-10316.45	-10320.26	
AHE-L11	-12174.56	-12155.41	
AHE-L112	-10319.78	-10311.22	
AHE-L118	-10580.86	-10562.12	
AHE-L119	-15393.57	-15375.03	
AHE-L12	-13957.27	-13941.46	
AHE-L123	-11509.80	-11499.66	
AHE-L125	-12829.11	-12789.81	
AHE-L129	-14125.17	-14129.60	
AHE-L13	-9206.74	-9192.82	
AHE-L131	-9222.52	-9212.78	
AHE-L135	-16159.26	-16142.03	
AHE-L14	-9574.99	-9572.39	
AHE-L144	-12336.83	-12317.29	
AHE-L145	-11022.90	-11002.73	
AHE-L148	-16201.59	-16178.18	
AHE-L152	-11337.66	-11318.93	
AHE-L155	-8258.38	-8250.03	
AHE-L158	-13021.42	-13025.12	
AHE-L164	-12336.51	-12319.69	
AHE-L165	-10276.31	-10248.66	
AHE-L170	-12057.09	-12046.59	
AHE-L172	-10653.43	-10637.22	
AHE-L173	-5847.04	-5847.61	
AHE-L176	-15025.31	-15015.92	
AHE-L177	-11032.00	-11036.06	
AHE-L178	-6632.11	-6633.09	
AHE-L180	-11756.09	-11734.23	
AHE-L182	-8881.36	-8871.22	
AHE-L183	-8339.04	-8347.81	
AHE-L184	-9587.19	-9574.25	
AHE-L185	-13424.41	-13391.23	
AHE-L188	-16879.82	-16865.84	
AHE-L189	-6669.31	-6660.26	
AHE-L19	-11210.88	-11219.72	
AHE-L192	-13034.28	-13002.02	
AHE-L193	-10270.18	-10274.49	
AHE-L196	-6181.07	-6162.60	
AHE-L20	-10374.59	-10355.84	
AHE-L200	-11457.32	-11428.58	
AHE-L203	-11791.47	-11754.32	
AHE-L204	-4966.84	-4964.41	
AHE-L205	-14456.34	-14440.28	
AHE-L206	-14670.36	-14673.83	
AHE-L207	-13541.86	-13522.42	
AHE-L210	-15095.84	-15053.29	
AHE-L212	-16254.20	-16226.41	
AHE-L215	-13329.54	-13284.68	
AHE-L22	-10262.14	-10240.81	
AHE-L221	-14194.69	-14171.08	
AHE-L222	-12935.76	-12919.10	
AHE-L224	-10602.37	-10567.04	
AHE-L225	-14152.90	-14150.69	
AHE-L228	-3076.72	-3068.31	
AHE-L229	-10723.40	-10699.43	
AHE-L231	-9328.17	-9325.12	
AHE-L24	-16112.43	-16094.77	
AHE-L241	-11231.48	-11217.90	
AHE-L243	-11493.57	-11454.60	
AHE-L244	-7792.23	-7773.15	
AHE-L245	-11330.03	-11310.92	
AHE-L25	-10758.79	-10747.04	
AHE-L250	-18677.49	-18653.55	
AHE-L256	-5651.79	-5635.29	
AHE-L259	-15509.34	-15449.38	
AHE-L260	-11801.27	-11784.22	
AHE-L261	-12793.12	-12744.14	
AHE-L264	-8904.68	-8896.87	
AHE-L265	-8658.09	-8621.60	
AHE-L267	-15575.20	-15545.11	
AHE-L269	-16181.76	-16160.24	
AHE-L271	-4160.38	-4146.57	
AHE-L272	-6328.08	-6325.01	
AHE-L273	-13689.77	-13684.54	
AHE-L276	-12969.76	-12960.43	
AHE-L28	-12943.92	-12920.00	
AHE-L282	-6024.98	-6006.75	
AHE-L283	-9326.16	-9313.67	
AHE-L284	-14344.39	-14326.25	
AHE-L286	-4808.22	-4815.51	
AHE-L288	-11378.70	-11351.36	
