Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
Reeder_DNA_ADNP	-17760.79	-17762.81	-17760.56	-17759.44	-17759.55	
Reeder_DNA_AHR	-14156.03	-14124.11	-14121.75	-14121.75	-14121.92	
Reeder_DNA_AKAP9	-30198.31	-30128.18	-30134.63	-30131.21	-30125.67	
Reeder_DNA_BACH1	-31619.67	-31578.40	-31583.56	-31587.44	-31579.23	
Reeder_DNA_BDNF	-13848.01	-13839.68	-13834.16	-13840.73	-13840.56	
Reeder_DNA_BHLHB2	-18149.31	-18143.43	-18153.74	-18153.90	-18145.70	
Reeder_DNA_BMP2	-17717.59	-17720.44	-17717.11	-17716.34	-17716.44	
Reeder_DNA_CAND1	-14525.95	-14511.53	-14513.30	-14511.19	-14506.43	
Reeder_DNA_CARD4	-36045.51	-36009.11	-36017.83	-36023.98	-36010.71	
Reeder_DNA_CILP	-52856.30	-52837.10	-52839.33	-52839.78	-52839.84	
Reeder_DNA_cMos	-21521.25	-21496.72	-21497.47	-21502.07	-21501.85	
Reeder_DNA_CXCR4	-24664.02	-24663.91	-24668.73	-24661.90	-24666.67	
Reeder_DNA_DLL1	-15302.56	-15287.00	-15297.34	-15294.28	-15291.39	
Reeder_DNA_ECEL	-20537.04	-20525.40	-20528.07	-20527.53	-20526.04	
Reeder_DNA_ENC1	-18832.50	-18788.31	-18794.79	-18787.93	-18792.97	
Reeder_DNA_FSHR	-22302.51	-22305.69	-22309.90	-22308.99	-22304.30	
Reeder_DNA_FSTL5	-13526.89	-13495.66	-13494.42	-13491.44	-13491.60	
Reeder_DNA_GALR1	-12019.65	-11991.38	-11994.08	-11989.59	-11991.83	
Reeder_DNA_GHSR	-11454.37	-11380.90	-11379.83	-11380.22	-11380.01	
Reeder_DNA_GPR37	-13789.63	-13764.60	-13762.91	-13763.03	-13767.43	
Reeder_DNA_HLCS	-21995.68	-21972.35	-21976.29	-21975.60	-21974.32	
Reeder_DNA_INHIBA	-19186.72	-19170.23	-19172.75	-19172.90	-19169.79	
Reeder_DNA_LRRN1	-16123.24	-16074.80	-16076.57	-16078.70	-16078.11	
Reeder_DNA_LZTSS1	-14065.19	-14011.29	-14007.31	-14019.16	-14016.65	
Reeder_DNA_MKL1	-34254.94	-34214.56	-34217.74	-34219.98	-34211.73	
Reeder_DNA_MLL3	-30353.07	-30293.86	-30292.03	-30298.81	-30298.77	
Reeder_DNA_MSH6	-24106.66	-24071.53	-24078.68	-24074.14	-24074.05	
Reeder_DNA_ND2	-98443.59	-98452.93	-98458.41	-98467.84	-98454.36	
Reeder_DNA_NGFB	-19142.93	-19115.53	-19121.51	-19113.30	-19115.74	
Reeder_DNA_NKTR	-47580.19	-47536.34	-47533.76	-47536.82	-47541.74	
Reeder_DNA_NTF3	-17843.91	-17822.19	-17826.94	-17833.03	-17826.94	
Reeder_DNA_PNN	-29536.41	-29489.26	-29495.42	-29490.01	-29492.96	
Reeder_DNA_PRLR	-24092.29	-24056.96	-24055.61	-24057.11	-24058.75	
Reeder_DNA_PTGER4	-12833.56	-12881.52	-12885.63	-12892.64	-12888.98	
Reeder_DNA_PTPN	-22088.72	-22081.60	-22081.62	-22083.72	-22083.21	
Reeder_DNA_R35	-28288.81	-28256.85	-28254.38	-28255.68	-28255.28	
Reeder_DNA_RAG1	-30428.98	-30402.69	-30403.17	-30396.66	-30394.27	
Reeder_DNA_SINCAIP	-14767.00	-14743.04	-14744.59	-14743.60	-14744.16	
Reeder_DNA_SLC30A1	-17866.10	-17854.03	-17855.08	-17854.07	-17857.03	
Reeder_DNA_SLC8A1	-26467.13	-26409.97	-26412.12	-26405.34	-26405.41	
Reeder_DNA_SLC8A3	-27753.95	-27734.24	-27733.62	-27738.80	-27731.62	
Reeder_DNA_TRAF6	-22259.45	-22214.29	-22212.59	-22220.73	-22225.25	
Reeder_DNA_UBN1	-24974.83	-24942.59	-24938.34	-24951.34	-24956.16	
Reeder_DNA_VCPIP1	-19733.32	-19690.19	-19694.72	-19687.99	-19690.01	
Reeder_DNA_ZEB2	-16956.92	-16920.47	-16930.19	-16921.08	-16927.03	
Reeder_DNA_ZFP36L1	-14463.23	-14474.98	-14474.86	-14474.33	-14474.83	
