Locus	Sequences	Columns	Dist_Pat	Pars_Info	Sing_Sites	Cons_Sites	Chi2_Fail	Gaps_Ambig
BurbrinkIQ								0
T212_L1	285	1459	1022	807	87	565	49	0
T212_L10	287	1457	1089	818	77	562	13	3
T212_L100	286	1767	1427	1145	132	490	3	0
T212_L101	285	1655	1204	787	91	777	37	5
T212_L103	276	1262	1073	929	74	259	3	0
T212_L104	284	1821	1194	978	99	744	17	0
T212_L107	284	1601	1254	958	96	547	28	3
T212_L109	282	1565	754	606	76	883	1	1
T212_L11	277	1558	1310	1018	144	396	0	0
T212_L110	280	1605	1065	829	124	652	1	0
T212_L111	284	1266	677	590	45	631	8	0
T212_L112	282	1073	820	657	76	340	6	1
T212_L113	280	1676	1434	1252	102	322	1	0
T212_L115	280	548	231	190	12	346	7	0
T212_L119	279	1175	845	667	68	440	8	1
T212_L12	273	839	368	310	36	493	0	0
T212_L121	284	1136	678	565	47	524	13	0
T212_L123	276	1852	1198	881	168	803	15	0
T212_L124	284	1574	977	808	76	690	131	1
T212_L128	276	1464	1200	958	156	350	0	1
T212_L129	275	1479	977	810	114	555	2	0
T212_L13	274	1831	1229	875	174	782	0	3
T212_L130	281	1613	976	767	86	760	9	0
T212_L131	287	1616	1076	897	75	644	49	0
T212_L133	277	1800	1251	1027	113	660	8	0
T212_L134	285	1592	1043	826	87	679	25	0
T212_L135	281	1782	1338	1068	150	564	2	0
T212_L139	283	1728	1319	1075	132	521	11	0
T212_L14	285	1559	948	760	100	699	7	0
T212_L144	286	1279	1037	820	85	374	36	2
T212_L148	280	1672	1137	891	110	671	1	0
T212_L149	283	1507	946	741	109	657	9	0
T212_L15	281	1318	891	766	44	508	5	1
T212_L150	282	1645	1214	991	105	549	1	0
T212_L152	286	1845	1332	1019	131	695	22	0
T212_L153	282	1002	790	641	56	305	13	0
T212_L155	280	1486	1136	932	99	455	8	0
T212_L156	286	1394	861	668	71	655	19	1
T212_L157	279	1811	1499	1220	120	471	10	0
T212_L158	278	903	469	400	54	449	0	0
T212_L159	281	1389	1087	808	111	469	6	0
T212_L16	284	1625	898	718	66	840	16	0
T212_L160	283	1598	1189	951	114	533	19	0
T212_L162	283	1808	1217	935	86	787	11	0
T212_L163	282	1600	1199	1003	86	511	3	1
T212_L164	286	1529	1079	807	135	587	10	0
T212_L166	279	1701	1025	825	119	757	0	0
T212_L167	281	1212	682	568	78	566	3	0
T212_L171	274	1150	710	577	75	498	0	0
T212_L173	277	1745	1097	832	118	795	2	0
T212_L174	272	823	683	562	57	204	2	1
T212_L175	284	1701	1495	1341	75	285	17	0
T212_L176	284	1624	1243	931	143	550	5	0
T212_L177	282	1807	1299	1087	115	605	1	0
T212_L178	281	1523	1118	917	93	513	0	0
T212_L179	277	887	422	334	47	505	0	0
T212_L18	286	1331	986	670	98	563	3	0
T212_L181	274	1825	1611	1252	133	440	1	1
T212_L183	286	1463	965	644	158	661	0	0
T212_L184	267	748	483	387	50	311	3	0
T212_L185	286	1766	1237	924	119	723	35	2
T212_L186	261	1512	1089	774	104	634	0	1
T212_L188	280	1318	1131	958	109	251	46	0
T212_L189	285	1845	1396	1075	110	660	179	0
T212_L19	280	1139	518	428	39	672	1	0
T212_L190	258	1630	1238	975	154	501	5	1
T212_L192	271	1223	987	795	90	338	9	0
T212_L193	285	1655	1284	990	151	514	11	0
T212_L194	283	1178	727	611	70	497	14	0
T212_L198	264	1015	698	580	84	351	9	0
T212_L2	283	1448	1098	817	81	550	87	0
T212_L201	285	1662	1032	800	116	746	1	0
T212_L202	284	1640	1019	733	146	761	0	0
T212_L203	282	1590	690	490	108	992	0	0
T212_L204	287	1862	1125	799	96	966	22	1
T212_L206	282	1825	1198	935	99	791	3	0
T212_L207	282	1659	921	711	78	870	0	0
T212_L208	280	1581	977	808	74	699	6	0
T212_L211	282	1590	1066	795	130	665	49	1
T212_L212	284	1752	1424	1094	147	511	10	2
T212_L213	280	1169	817	637	70	462	5	0
T212_L215	281	1612	1468	1276	115	220	10	0
T212_L216	272	846	552	407	60	379	1	4
T212_L219	283	1573	1080	896	101	576	11	2
T212_L220	280	1197	675	543	51	603	2	4
T212_L221	284	1756	1314	1012	158	586	1	1
T212_L222	283	1433	863	672	82	679	7	0
T212_L224	282	1047	597	486	65	496	13	0
T212_L225	284	1849	1071	857	68	924	3	1
T212_L226	283	1461	1213	963	108	390	22	0
T212_L227	285	1592	1064	882	106	604	50	0
T212_L229	284	1478	995	820	74	584	186	0
T212_L231	278	999	625	513	78	408	4	0
T212_L232	281	1565	1221	881	150	534	11	0
T212_L234	249	1307	1245	970	155	182	26	3
T212_L236	273	1596	1111	815	130	651	0	0
T212_L239	283	1900	1300	1040	145	715	125	0
T212_L24	281	1124	493	426	30	668	2	1
T212_L240	277	1837	1548	1285	121	431	221	1
T212_L241	280	1311	1134	936	107	268	10	0
T212_L243	281	1214	752	623	58	533	22	0
T212_L244	262	747	533	452	48	247	27	0
T212_L245	284	1590	1180	891	112	587	161	0
T212_L247	253	626	399	226	99	301	0	0
T212_L250	283	2075	1520	1274	118	683	7	0
T212_L251	287	1893	1756	1455	170	268	8	2
T212_L253	272	985	595	365	147	473	0	0
T212_L255	261	441	277	177	67	197	0	0
T212_L258	282	1742	1155	938	108	696	7	0
T212_L259	282	1880	1019	781	92	1007	12	0
T212_L260	286	1287	815	638	72	577	13	0
T212_L262	283	836	512	405	63	368	0	0
T212_L263	285	1504	1061	849	140	515	4	0
T212_L264	275	648	375	273	59	316	1	1
T212_L265	285	1927	1316	1022	126	779	1	0
T212_L267	287	1622	808	682	70	870	54	0
T212_L268	281	1086	675	587	40	459	12	0
T212_L269	287	1024	537	439	48	537	18	0
T212_L27	283	1251	771	598	102	551	5	0
T212_L270	282	938	672	541	44	353	48	0
T212_L271	283	1862	1200	961	107	794	7	0
T212_L273	285	1007	808	646	62	299	2	0
T212_L274	285	1576	1160	870	149	557	6	0
T212_L276	283	1688	1345	1043	97	548	77	0
T212_L277	243	348	249	136	33	179	0	0
T212_L278	285	1307	1095	876	114	317	49	0
T212_L28	275	1530	1142	829	102	599	115	3
T212_L280	284	1624	954	699	114	811	17	0
T212_L281	282	1639	806	604	82	953	20	1
T212_L282	281	1092	616	526	43	523	7	0
T212_L285	201	824	541	447	54	323	4	0
T212_L286	279	1486	645	573	51	861	4	0
T212_L287	284	1600	996	739	134	727	8	0
T212_L289	277	1083	795	611	81	391	1	0
T212_L29	283	1543	1196	977	100	466	43	0
T212_L291	281	1160	921	752	90	318	38	0
T212_L292	274	1736	1202	968	124	644	0	0
T212_L293	272	1477	1044	887	96	494	1	0
T212_L294	281	1028	535	453	50	525	6	0
T212_L295	279	1352	1120	950	90	312	9	0
T212_L296	288	1799	1404	1113	124	562	61	0
T212_L298	285	1809	1109	803	84	922	63	1
T212_L299	281	1643	1080	905	95	643	215	0
T212_L3	282	1417	1009	869	54	494	150	0
T212_L301	279	1526	443	247	81	1198	2	0
T212_L302	285	1558	768	572	133	853	5	2
T212_L303	281	1283	943	752	86	445	41	0
T212_L305	283	1804	1282	1066	126	612	30	0
T212_L308	286	1392	884	688	89	615	25	0
T212_L309	283	1079	483	385	27	667	11	0
T212_L310	274	1359	1081	866	76	417	57	3
T212_L312	286	1338	996	782	75	481	38	1
T212_L314	280	1752	1136	939	86	727	4	1
T212_L315	286	2069	1617	1290	166	613	16	1
T212_L317	286	1695	1195	933	114	648	35	0
T212_L318	280	711	395	319	32	360	4	0
T212_L322	283	1305	794	635	81	589	29	0
T212_L323	281	1478	1009	822	51	605	84	0
T212_L329	284	1532	1030	637	80	815	16	1
T212_L33	278	1373	839	698	76	599	7	0
T212_L333	282	1739	1133	899	85	755	165	0
T212_L334	288	1560	821	624	63	873	17	1
T212_L335	285	952	564	409	43	500	10	2
T212_L336	278	1103	757	601	66	436	11	1
T212_L337	284	1532	1127	868	112	552	57	0
T212_L338	282	1441	1092	830	111	500	56	0
T212_L339	279	1031	820	685	63	283	39	0
T212_L341	278	1635	1304	1107	70	457	241	0
T212_L342	286	1874	1038	696	129	1049	12	1
T212_L343	281	983	829	675	57	251	56	1
T212_L344	285	1551	1310	790	99	662	16	0
T212_L345	277	772	498	394	38	340	15	0
T212_L346	284	1475	1154	930	109	436	5	0
T212_L347	284	1533	955	721	82	730	3	0
T212_L35	279	1602	985	696	141	765	4	0
T212_L351	281	1127	804	668	65	394	2	0
T212_L352	286	1941	1026	637	200	1104	0	0
