Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L1	-8800.06	-8782.12	-8785.90	-8785.18	-8779.20	
AHE-L102	-14837.78	-14799.66	-14803.38	-14809.57	-14799.37	
AHE-L104	-13366.90	-13346.05	-13352.14	-13345.02	-13348.85	
AHE-L105	-11776.30	-11782.25	-11781.91	-11782.42	-11782.48	
AHE-L108	-8144.16	-8151.12	-8149.72	-8157.70	-8150.36	
AHE-L11	-14613.12	-14576.09	-14576.12	-14575.06	-14578.57	
AHE-L112	-12417.36	-12397.82	-12399.38	-12400.35	-12396.94	
AHE-L118	-12501.35	-12484.23	-12485.16	-12484.34	-12486.52	
AHE-L119	-19335.54	-19305.80	-19305.15	-19313.36	-19315.65	
AHE-L123	-14824.26	-14790.83	-14791.67	-14799.89	-14798.83	
AHE-L125	-15469.39	-15447.43	-15448.93	-15449.23	-15446.59	
AHE-L129	-17186.67	-17164.61	-17162.94	-17168.92	-17167.18	
AHE-L13	-13108.26	-13083.64	-13081.39	-13094.56	-13088.29	
AHE-L130	-15184.16	-15153.82	-15153.80	-15156.05	-15154.31	
AHE-L135	-17412.54	-17376.06	-17374.20	-17377.80	-17381.23	
AHE-L14	-14009.01	-13996.66	-13995.98	-13997.42	-13997.50	
AHE-L144	-14827.34	-14781.22	-14787.69	-14781.62	-14785.03	
AHE-L145	-14233.74	-14187.57	-14185.93	-14194.08	-14190.91	
AHE-L152	-13026.84	-13011.86	-13015.29	-13015.29	-13010.45	
AHE-L155	-11649.39	-11647.26	-11651.92	-11647.58	-11647.27	
AHE-L158	-18304.35	-18289.35	-18288.60	-18297.79	-18303.41	
AHE-L160	-13735.94	-13706.14	-13705.30	-13708.17	-13707.83	
AHE-L164	-13442.75	-13405.36	-13405.01	-13412.03	-13407.75	
AHE-L165	-12909.09	-12874.46	-12876.10	-12873.45	-12876.17	
AHE-L170	-14240.43	-14197.79	-14197.33	-14210.09	-14212.50	
AHE-L171	-10016.86	-10006.08	-10010.45	-10011.58	-10003.97	
AHE-L172	-14010.06	-13996.52	-14000.05	-13999.69	-13995.11	
AHE-L173	-7811.47	-7797.65	-7802.96	-7801.29	-7797.20	
AHE-L176	-13711.37	-13685.99	-13686.35	-13685.62	-13683.89	
AHE-L177	-13494.06	-13478.29	-13481.34	-13479.91	-13476.47	
AHE-L178	-9177.19	-9163.64	-9167.46	-9167.83	-9163.12	
AHE-L180	-13369.13	-13344.23	-13342.49	-13344.36	-13342.85	
AHE-L182	-11671.17	-11661.39	-11661.63	-11660.51	-11660.52	
AHE-L184	-11057.40	-11032.15	-11047.98	-11031.20	-11045.12	
AHE-L185	-16286.60	-16254.57	-16253.85	-16252.62	-16254.27	
AHE-L187	-11511.82	-11499.58	-11504.76	-11499.16	-11504.24	
AHE-L188	-16058.85	-16042.67	-16045.06	-16042.24	-16042.78	
AHE-L189	-8525.57	-8503.07	-8502.42	-8505.11	-8505.07	
AHE-L19	-14759.97	-14762.99	-14774.69	-14761.15	-14773.33	
AHE-L192	-10857.70	-10819.40	-10816.41	-10821.35	-10823.08	
AHE-L193	-12212.82	-12207.87	-12206.02	-12211.78	-12215.19	
AHE-L194	-1509.56	-1513.03	-1512.44	-1514.93	-1514.16	
AHE-L195	-3253.83	-3256.74	-3255.90	-3257.66	-3257.28	
AHE-L20	-13289.99	-13296.51	-13296.39	-13298.61	-13300.97	
AHE-L200	-14209.96	-14146.17	-14146.01	-14151.26	-14156.98	
AHE-L203	-14221.43	-14139.56	-14136.90	-14140.20	-14143.37	
AHE-L204	-6407.95	-6401.23	-6401.70	-6401.02	-6400.96	
AHE-L205	-20351.57	-20314.21	-20324.61	-20328.54	-20312.63	
AHE-L206	-17324.31	-17312.51	-17314.98	-17316.36	-17313.64	
AHE-L207	-15726.28	-15694.03	-15702.42	-15700.11	-15691.29	
AHE-L210	-18207.25	-18161.32	-18162.19	-18160.76	-18166.78	
AHE-L215	-14140.91	-14085.84	-14083.30	-14089.50	-14084.18	
AHE-L22	-13138.51	-13094.20	-13093.06	-13094.86	-13097.11	
AHE-L221	-17311.31	-17262.84	-17266.76	-17265.08	-17265.77	
AHE-L222	-15685.58	-15649.73	-15650.43	-15647.02	-15648.52	
AHE-L224	-12974.44	-12953.27	-12951.75	-12951.81	-12953.20	
AHE-L225	-16824.98	-16830.37	-16837.78	-16830.21	-16838.24	
AHE-L231	-11977.38	-11972.58	-11971.17	-11974.27	-11974.28	
AHE-L24	-18808.84	-18795.92	-18793.69	-18797.01	-18794.59	
AHE-L241	-13576.11	-13544.73	-13551.51	-13551.01	-13545.45	
AHE-L243	-13665.66	-13601.07	-13613.41	-13610.95	-13600.83	
AHE-L244	-9085.56	-9051.83	-9050.23	-9053.49	-9055.84	
AHE-L245	-13577.30	-13547.11	-13546.29	-13547.93	-13547.10	
AHE-L25	-11942.61	-11930.49	-11936.63	-11940.71	-11929.95	
AHE-L256	-6018.40	-6015.28	-6017.46	-6019.89	-6014.50	
