Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L102	-13863.4132	-13863.0293	-13865.8448	-13865.8456	-13863.0299	
AHE-L104	-11280.8588	-11275.8123	-11277.9422	-11275.8122	-11277.9417	
AHE-L105	-10612.7530	-10643.6830	-10644.0132	-10644.0142	-10643.6813	
AHE-L106	-12179.2462	-12179.3114	-12183.4463	-12182.5015	-12179.3117	
AHE-L108	-5720.1562	-5723.0828	-5724.9364	-5724.5732	-5723.0828	
AHE-L11	-13772.9650	-13785.5171	-13788.3556	-13788.3553	-13785.5166	
AHE-L111	-8081.7658	-8092.4368	-8102.9068	-8102.9073	-8092.4372	
AHE-L112	-12024.8934	-12026.1601	-12027.3356	-12027.3378	-12026.1588	
AHE-L114	-10501.5005	-10532.6267	-10563.4469	-10563.4450	-10532.6267	
AHE-L118	-11206.5060	-11206.7198	-11206.7684	-11206.7655	-11206.7189	
AHE-L119	-17386.7321	-17389.4083	-17389.4101	-17389.4105	-17389.4092	
AHE-L12	-11526.5106	-11524.3869	-11524.8784	-11524.8502	-11524.3875	
AHE-L123	-13807.1137	-13808.8416	-13809.0485	-13810.2921	-13808.8407	
AHE-L124	-10090.8172	-10097.5195	-10097.5203	-10097.5215	-10097.5207	
AHE-L125	-13219.8778	-13222.1467	-13223.2707	-13223.2699	-13222.1467	
AHE-L129	-15291.8322	-15293.1277	-15293.1268	-15293.1279	-15293.1272	
AHE-L13	-11029.7431	-11033.5174	-11033.6950	-11034.0865	-11033.5182	
AHE-L130	-13791.9284	-13781.3977	-13781.4644	-13781.4705	-13781.4004	
AHE-L135	-15567.1672	-15550.6347	-15551.0603	-15552.1330	-15550.6344	
AHE-L14	-13532.4834	-13533.4733	-13534.8557	-13534.8587	-13533.4715	
AHE-L142	-7859.8918	-7859.8786	-7861.6173	-7861.6161	-7859.8784	
AHE-L144	-13104.2077	-13089.2913	-13094.5522	-13089.2897	-13094.4320	
AHE-L145	-13140.1623	-13148.2406	-13148.2401	-13150.1975	-13149.4092	
AHE-L146	-12849.0381	-12854.8079	-12854.8154	-12854.8142	-12854.8074	
AHE-L148	-15330.6614	-15331.5787	-15332.4415	-15332.4432	-15331.5784	
AHE-L15	-11747.3307	-11776.7972	-11778.1117	-11778.7987	-11776.7958	
AHE-L152	-11050.2740	-11041.6296	-11045.4173	-11044.8778	-11041.6298	
AHE-L154	-10183.2952	-10190.9853	-10192.0352	-10192.1490	-10190.9851	
AHE-L155	-10002.5113	-9995.2186	-9995.9831	-9995.2185	-9995.9822	
AHE-L156	-11212.7565	-11215.1422	-11215.7114	-11215.7115	-11215.1422	
AHE-L158	-17167.5250	-17184.3139	-17184.3146	-17185.9290	-17186.2074	
AHE-L159	-12465.4678	-12466.3004	-12467.9604	-12467.9362	-12466.3007	
AHE-L16	-12331.4767	-12381.9524	-12382.3453	-12382.3530	-12381.9515	
AHE-L160	-12768.4780	-12768.9341	-12768.9338	-12768.9340	-12768.9339	
AHE-L164	-12039.4583	-12039.3785	-12045.3597	-12045.3602	-12039.3789	
AHE-L165	-11126.4656	-11122.0779	-11122.1342	-11122.0770	-11122.1265	
