Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L1	NA	NA	NA	NA	NA	
AHE-L102	-12932.3062	-12920.6405	-12921.2925	-12921.7132	-12920.6414	
AHE-L104	-11280.8590	-11275.8122	-11277.9457	-11275.8114	-11277.9421	
AHE-L105	-10480.5832	-10486.6520	-10486.6516	-10486.9065	-10486.7304	
AHE-L108	-6812.0710	-6813.2365	-6813.8484	-6814.4621	-6813.2362	
AHE-L11	-12828.1744	-12814.9281	-12814.9284	-12815.0939	-12817.5619	
AHE-L112	-10959.5097	-10954.7021	-10954.7021	-10955.5425	-10955.4305	
AHE-L118	-11047.8634	-11041.8976	-11041.8991	-11041.8989	-11041.8984	
AHE-L119	-16440.3192	-16421.3367	-16421.3390	-16421.7581	-16421.7585	
AHE-L123	-13488.9621	-13469.4282	-13469.4278	-13474.9857	-13473.9519	
AHE-L125	-13407.6433	-13406.2167	-13406.3102	-13406.3111	-13406.2170	
AHE-L129	-15291.8312	-15293.1264	-15293.1263	-15293.1275	-15293.1266	
AHE-L13	-11355.0726	-11342.4664	-11342.4661	-11346.4448	-11346.3109	
AHE-L130	-13791.9316	-13781.3983	-13781.4640	-13781.4723	-13781.3979	
AHE-L135	-15567.1670	-15550.6345	-15551.0596	-15552.1329	-15550.6355	
AHE-L14	-12715.4427	-12708.3410	-12708.3420	-12708.3414	-12708.3421	
AHE-L144	-13104.2070	-13089.2916	-13094.5518	-13089.2916	-13094.4324	
AHE-L145	-12475.3986	-12447.5652	-12447.5641	-12450.4844	-12450.0365	
AHE-L152	-11050.2737	-11041.6297	-11045.4184	-11044.8777	-11041.6297	
AHE-L155	-10002.5093	-9995.2188	-9995.9828	-9995.2190	-9995.9827	
AHE-L158	-16171.4854	-16160.5691	-16160.5734	-16166.1245	-16167.9175	
AHE-L160	-11985.5630	-11978.7169	-11978.7144	-11978.8343	-11978.8338	
AHE-L164	-11763.0871	-11753.0877	-11753.6013	-11754.3538	-11753.0868	
AHE-L165	-11126.4652	-11122.0773	-11122.1336	-11122.0784	-11122.1247	
AHE-L170	-12436.5452	-12415.4296	-12415.4300	-12420.8550	-12420.8546	
AHE-L171	-8906.7635	-8897.7364	-8898.6213	-8899.7739	-8897.7365	
AHE-L172	-12149.6260	-12144.5130	-12146.2623	-12146.4741	-12144.5139	
AHE-L173	-6882.5761	-6877.2003	-6879.3231	-6879.3248	-6877.1998	
AHE-L176	-12045.1978	-12033.2411	-12033.5784	-12033.5796	-12033.2408	
AHE-L177	-11810.3483	-11801.7883	-11801.9234	-11801.7884	-11801.9542	
AHE-L178	-7811.4300	-7791.3248	-7793.2340	-7793.2346	-7791.3254	
AHE-L180	-12186.9551	-12174.6124	-12174.6124	-12174.6118	-12174.6121	
AHE-L182	-10250.5710	-10243.1802	-10243.1792	-10244.7863	-10244.6969	
AHE-L184	-9244.2805	-9237.9478	-9242.6891	-9237.9485	-9242.5919	
AHE-L185	-14381.5616	-14367.4569	-14367.7405	-14367.4560	-14367.7419	
AHE-L187	-10247.1192	-10239.9974	-10242.2823	-10239.9973	-10242.2818	
AHE-L188	-13911.1953	-13901.8571	-13902.2211	-13901.8582	-13901.9134	
AHE-L189	-7398.5980	-7386.7100	-7386.7105	-7386.7110	-7386.7106	
AHE-L19	-12702.2525	-12700.3807	-12706.0086	-12700.3792	-12706.0525	
AHE-L192	-9568.7500	-9545.2556	-9545.2568	-9546.6925	-9546.6942	
AHE-L193	-10127.8218	-10122.4792	-10122.4781	-10124.7088	-10124.7068	
AHE-L194	NA	NA	NA	NA	NA	
AHE-L195	NA	NA	NA	NA	NA	
AHE-L20	-11272.9195	-11269.7626	-11269.7612	-11271.4482	-11271.4477	
AHE-L200	-12339.2560	-12302.9957	-12302.9940	-12305.7933	-12305.7689	
AHE-L203	-12137.4298	-12121.7664	-12121.7651	-12122.0509	-12122.5896	
AHE-L204	-5779.8367	-5774.1770	-5774.1766	-5774.2911	-5774.2939	
AHE-L205	-17980.8124	-17948.0855	-17959.0822	-17959.0595	-17948.0856	
AHE-L206	-15075.2497	-15067.8482	-15067.8484	-15067.8491	-15067.8495	
AHE-L207	-13607.0520	-13588.3399	-13591.5639	-13591.5634	-13588.3451	
AHE-L210	-15884.2393	-15866.7842	-15866.7860	-15869.7792	-15870.3893	
AHE-L215	-12159.5861	-12115.3442	-12118.4291	-12118.4134	-12115.3455	
AHE-L22	-11455.7755	-11449.2882	-11449.4044	-11449.2887	-11449.4058	
AHE-L221	-15629.1633	-15600.3884	-15601.4596	-15601.2808	-15600.3912	
AHE-L222	-13489.6474	-13472.9664	-13473.8989	-13472.9675	-13473.8963	
AHE-L224	-10931.2045	-10920.1031	-10920.2000	-10920.1022	-10920.1536	
AHE-L225	-14436.8262	-14437.3378	-14439.7443	-14437.3377	-14439.7449	
AHE-L231	-10326.4440	-10321.0697	-10321.0698	-10321.7666	-10321.1129	
AHE-L24	-16619.8012	-16614.4447	-16614.8035	-16615.1477	-16614.4494	
AHE-L241	-12207.5486	-12185.3839	-12186.0185	-12186.0176	-12185.3833	
AHE-L243	-11684.2298	-11673.0899	-11674.3875	-11674.3870	-11673.0893	
AHE-L244	-8043.4290	-8036.0270	-8036.0277	-8036.7428	-8036.7429	
AHE-L245	-11503.0740	-11492.0803	-11493.1359	-11493.1352	-11492.0808	
AHE-L25	-10600.7010	-10591.2098	-10592.1930	-10593.1650	-10591.2123	
AHE-L256	-5344.9725	-5343.9762	-5345.9239	-5346.5630	-5343.9760	
AHE-L259	-12836.3758	-12819.9619	-12820.0883	-12819.9620	-12820.7987	
AHE-L260	-12864.7347	-12864.5500	-12864.5484	-12865.4171	-12864.7124	
AHE-L261	-13683.3845	-13656.5178	-13659.0247	-13656.5176	-13659.0241	
AHE-L264	-8951.5258	-8943.3869	-8943.3894	-8943.3870	-8943.3869	
AHE-L265	-10953.4526	-10935.8771	-10936.5470	-10935.8762	-10936.0004	
AHE-L267	-16003.1376	-15999.8238	-16001.2363	-16000.3471	-15999.8244	
AHE-L269	-14996.9259	-14996.7924	-14996.9064	-14996.7943	-14997.9296	
AHE-L271	NA	NA	NA	NA	NA	
AHE-L273	-15142.5474	-15131.7267	-15131.7260	-15132.5565	-15133.6198	
AHE-L276	-12436.6320	-12427.5216	-12429.3659	-12428.4567	-12427.5211	
AHE-L28	-14732.8107	-14715.3112	-14716.7421	-14715.3123	-14716.6995	
AHE-L282	-6556.6952	-6555.0860	-6556.7917	-6557.4346	-6555.0861	
AHE-L283	-10674.4201	-10669.5856	-10669.5864	-10669.5874	-10669.5877	
AHE-L284	-13612.5457	-13609.8627	-13609.8640	-13615.5801	-13615.2437	
AHE-L285	-10957.7965	-10955.4072	-10956.5470	-10955.4077	-10956.2756	
AHE-L286	-4806.3340	-4810.3292	-4810.3294	-4812.0866	-4812.3718	
AHE-L288	-13154.7613	-13134.8145	-13135.1542	-13134.8156	-13135.1739	
AHE-L289	-11765.4710	-11759.5551	-11759.5559	-11762.2274	-11759.5504	
AHE-L295	-13817.6588	-13810.2450	-13811.0618	-13810.2459	-13810.5570	
AHE-L296	-12894.7083	-12871.2973	-12871.6986	-12872.0296	-12871.2997	
AHE-L297	-9578.1218	-9564.8179	-9565.4042	-9564.8173	-9565.7303	
AHE-L30	-12833.6284	-12799.4893	-12805.8634	-12808.2461	-12799.4910	
AHE-L305	-6855.3069	-6843.8176	-6843.8334	-6843.8178	-6843.8349	
AHE-L306	-11508.7840	-11511.2102	-11511.2118	-11511.8315	-11511.8322	
AHE-L307	-10585.2049	-10582.1652	-10582.1653	-10583.9098	-10583.9823	
AHE-L309	-14591.2588	-14581.8899	-14582.1357	-14581.8910	-14582.4210	
AHE-L314	-12022.6396	-12021.6485	-12021.6487	-12025.1544	-12025.2608	
AHE-L315	-9071.3211	-9060.9231	-9067.5417	-9060.9229	-9067.5422	
AHE-L317	-8268.0123	-8251.7968	-8252.9387	-8253.7740	-8251.7968	
AHE-L322	-7487.2701	-7477.1536	-7478.1933	-7478.1903	-7477.1538	
AHE-L327	-9759.8750	-9762.6393	-9763.7489	-9763.7499	-9762.6397	
AHE-L333	-13325.7211	-13325.1620	-13326.4263	-13325.1620	-13326.4273	
AHE-L34	-13988.6294	-13985.5644	-13986.3436	-13988.6798	-13985.5648	
AHE-L340	-9877.3257	-9864.5898	-9865.1661	-9865.1546	-9864.5908	
AHE-L341	-11697.6468	-11692.9911	-11694.2309	-11694.3587	-11692.9913	
AHE-L343	NA	NA	NA	NA	NA	
AHE-L350	-9702.5616	-9707.1571	-9708.2653	-9707.1566	-9707.9421	
AHE-L352	-11015.6725	-11001.0494	-11002.1349	-11003.3071	-11001.0498	
AHE-L357	-11759.1358	-11742.8094	-11745.2564	-11742.8092	-11745.7446	
AHE-L36	-14158.6764	-14123.2837	-14123.2839	-14123.9065	-14123.5519	
AHE-L361	-11602.7617	-11598.1279	-11598.1272	-11598.1266	-11598.1275	
AHE-L362	-13046.6076	-13020.1805	-13020.6237	-13020.6519	-13020.1817	
AHE-L364	-6156.3290	-6152.2597	-6152.2599	-6153.9647	-6153.9645	
AHE-L365	-13900.4231	-13890.3954	-13890.6787	-13890.9626	-13890.3944	
AHE-L366	-14734.4725	-14726.1406	-14726.1425	-14726.4098	-14726.4105	
AHE-L368	-13304.8615	-13290.2553	-13290.2566	-13290.9247	-13290.9338	
AHE-L371	-10602.8362	-10607.5548	-10607.5530	-10609.3937	-10609.3933	
AHE-L372	-16845.1738	-16820.3024	-16820.4955	-16820.4948	-16820.3026	
AHE-L377	-14005.1935	-13990.6829	-13990.6887	-13991.7310	-13990.6839	
AHE-L378	-12033.7453	-12016.6920	-12018.2835	-12016.6906	-12018.2837	
AHE-L379	-13387.7972	-13368.8572	-13368.8573	-13370.4569	-13370.4564	
AHE-L381	-14952.7204	-14933.4682	-14933.4698	-14933.4698	-14933.4685	
AHE-L382	-15049.9131	-15041.1286	-15043.5786	-15041.3543	-15041.1277	
AHE-L386	-14800.1617	-14771.5702	-14772.6563	-14772.5992	-14771.5701	
AHE-L39	-13475.2235	-13476.0140	-13476.0331	-13476.0139	-13476.1152	
AHE-L390	-16547.1298	-16539.6004	-16539.6006	-16540.1011	-16540.1000	
AHE-L393	-15992.4036	-15975.0278	-15978.4697	-15978.8758	-15975.0275	
AHE-L394	-12304.2795	-12288.6929	-12288.6971	-12288.7015	-12288.6915	
AHE-L395	-16565.1397	-16525.2232	-16525.9395	-16525.4167	-16525.2238	
AHE-L397	-9211.6005	-9195.6442	-9197.0143	-9195.6445	-9197.0150	
AHE-L40	-15077.6055	-15057.9157	-15058.0406	-15057.9309	-15057.9150	
AHE-L400	NA	NA	NA	NA	NA	
AHE-L42	-8666.7133	-8655.8900	-8658.1398	-8658.6089	-8655.8900	
AHE-L49	-11289.8065	-11278.4631	-11278.4619	-11279.1332	-11280.2122	
AHE-L52	-12630.1768	-12622.3780	-12622.3942	-12622.3785	-12622.3941	
AHE-L53	-4163.9299	-4172.9870	-4175.2905	-4174.4555	-4172.9871	
AHE-L55	-10191.3295	-10175.9061	-10177.2162	-10178.5772	-10175.9064	
AHE-L56	-14506.3020	-14491.8933	-14491.8940	-14495.0165	-14495.0175	
AHE-L57	-6497.7922	-6483.7604	-6483.7599	-6484.1386	-6483.9836	
AHE-L59	-7366.9506	-7364.9432	-7366.3157	-7364.9439	-7365.6982	
AHE-L61	-14600.4502	-14574.3338	-14574.3325	-14576.7775	-14576.8869	
AHE-L63	-13333.2927	-13311.6636	-13319.2682	-13319.1985	-13311.6623	
AHE-L75	-15056.1622	-15038.6310	-15040.8075	-15040.2251	-15038.6328	
AHE-L76	-13185.5405	-13175.1724	-13175.2421	-13175.1730	-13175.2029	
AHE-L80	-7643.1328	-7640.7329	-7640.7369	-7640.7337	-7640.7364	
AHE-L82	-7722.7122	-7731.0507	-7731.4096	-7731.0511	-7731.4103	
AHE-L84	-11468.3519	-11452.2966	-11452.2963	-11452.4643	-11452.4767	
AHE-L86	-6778.7984	-6776.5038	-6779.6626	-6776.5066	-6778.5817	
AHE-L87	-11573.9002	-11576.7273	-11578.0500	-11578.0491	-11576.7285	
AHE-L88	-9454.2558	-9441.9677	-9441.9672	-9445.9429	-9446.0931	
