Locus	Sclero	ToxPoly
AHE-L1	-12055.5763	-12034.4676	
AHE-L102	-10782.9992	-10774.8615	
AHE-L104	-10016.3326	-10007.2459	
AHE-L105	-9238.8840	-9245.4230	
AHE-L11	-10896.4727	-10891.1119	
AHE-L112	-9200.3321	-9199.3385	
AHE-L118	-9537.8171	-9530.4514	
AHE-L119	-13245.1841	-13228.2391	
AHE-L12	-12808.8494	-12795.1464	
AHE-L123	-10636.0039	-10631.4408	
AHE-L125	-11313.3402	-11306.6312	
AHE-L129	-12709.4681	-12713.9699	
AHE-L13	-8059.4374	-8055.9184	
AHE-L131	-8373.3787	-8368.7933	
AHE-L135	-14568.1960	-14561.8822	
AHE-L14	-8820.2990	-8816.5770	
AHE-L144	-11134.8659	-11130.7641	
AHE-L145	-9827.9814	-9817.3476	
AHE-L148	-14662.3649	-14659.6375	
AHE-L152	-9742.8481	-9738.7082	
AHE-L155	-7184.7521	-7179.6385	
AHE-L158	-11735.6247	-11735.2203	
AHE-L164	-11055.5584	-11054.0041	
AHE-L165	-9024.1866	-9020.7033	
AHE-L170	-10700.8849	-10694.5502	
AHE-L172	-9390.5297	-9385.0878	
AHE-L173	-5207.5275	-5200.8968	
AHE-L176	-13646.8560	-13644.7293	
AHE-L177	-9850.1627	-9853.0353	
AHE-L178	-5790.8012	-5785.7992	
AHE-L180	-10761.7820	-10749.9685	
AHE-L182	-7980.2598	-7976.7791	
AHE-L183	-7331.9666	-7332.9662	
AHE-L184	-8218.0208	-8207.0025	
AHE-L185	-12007.9637	-11988.6018	
AHE-L188	-14866.4834	-14857.7486	
AHE-L189	-5917.5446	-5912.0261	
AHE-L19	-9812.0440	-9817.7528	
AHE-L192	-11779.8533	-11771.2159	
AHE-L193	-8630.0149	-8630.4506	
AHE-L196	-5570.3046	-5560.5609	
AHE-L20	-9087.9518	-9080.0135	
AHE-L200	-10243.6135	-10229.6206	
AHE-L203	-10180.8552	-10168.5735	
AHE-L204	-4520.5834	-4517.0772	
AHE-L205	-13036.6869	-13015.1391	
AHE-L206	-12947.9072	-12946.4435	
AHE-L207	-11964.7483	-11962.2382	
AHE-L210	-13323.0855	-13308.8306	
AHE-L212	-14792.4255	-14776.8844	
AHE-L215	-11675.8488	-11649.6981	
AHE-L22	-9105.4344	-9099.5722	
AHE-L221	-12939.4545	-12926.7641	
AHE-L222	-11323.9068	-11312.7338	
AHE-L224	-9177.2359	-9166.4533	
AHE-L225	-12378.5411	-12379.8122	
AHE-L228	-2641.7713	-2639.7492	
AHE-L229	-9006.0171	-8994.4305	
AHE-L231	-8279.4124	-8275.6058	
AHE-L24	-14394.6117	-14392.6113	
AHE-L241	-10232.4511	-10225.0364	
AHE-L243	-9921.7902	-9915.4541	
AHE-L244	-6959.5860	-6955.4616	
AHE-L245	-9660.7801	-9652.5734	
AHE-L25	-9686.2382	-9680.3394	
AHE-L250	-17035.9086	-17014.8634	
AHE-L256	-5137.3887	-5131.1246	
AHE-L259	-13868.5310	-13849.8614	
AHE-L260	-10376.7262	-10376.8872	
AHE-L261	-11397.8108	-11373.8334	
AHE-L264	-7842.1055	-7838.2711	
AHE-L265	-7742.1526	-7723.3509	
AHE-L267	-13982.7745	-13981.0805	
AHE-L269	-13384.5077	-13383.4119	
AHE-L271			
AHE-L272	-5338.5382	-5341.0513	
AHE-L273	-11950.8217	-11947.9516	
AHE-L276	-11455.7085	-11452.6614	
AHE-L28	-11676.6166	-11670.0466	
AHE-L282	-5307.0336	-5305.7716	
AHE-L283	-7931.8718	-7931.9997	
AHE-L284	-12611.1621	-12608.2490	
AHE-L286	-4194.2246	-4202.2987	
AHE-L288	-10016.6210	-10000.4828	
AHE-L289	-9907.7680	-9909.7692	
AHE-L29	-6911.5734	-6911.5721	
AHE-L292	-1834.9971	-1834.9971	
AHE-L295	-11866.3229	-11861.5642	
AHE-L296	-12541.9367	-12525.9482	
AHE-L297	-10025.7560	-10019.6552	
AHE-L30	-9617.7446	-9605.7704	
AHE-L301	-3233.8615	-3232.8863	
AHE-L305	-6071.8126	-6064.4155	
AHE-L306	-8308.7664	-8307.3102	
AHE-L309	-11867.0307	-11863.9975	
AHE-L314	-10919.1089	-10926.5025	
AHE-L315	-7019.3280	-7019.2606	
AHE-L317	-12965.0860	-12956.6776	
AHE-L322	-8285.1845	-8274.5997	
AHE-L326	-9424.6701	-9423.0425	
AHE-L327	-8786.9078	-8777.7822	
AHE-L333	-13142.9968	-13137.9318	
AHE-L34	-10296.0394	-10291.4302	
AHE-L340	-8160.6635	-8149.0741	
AHE-L343			
AHE-L35	-6838.9819	-6829.6477	
AHE-L350	-7860.5240	-7855.2436	
AHE-L351	-12682.3828	-12671.6798	
AHE-L352	-10318.8162	-10318.7473	
AHE-L354	-10229.1713	-10219.4402	
AHE-L357	-8395.4421	-8388.8303	
AHE-L36	-12469.1540	-12452.0964	
AHE-L361	-10418.9284	-10416.2121	
AHE-L362	-11068.9557	-11054.8713	
AHE-L364	-5148.1509	-5146.6630	
AHE-L365	-12798.9623	-12792.4425	
AHE-L366	-12385.0642	-12373.2714	
AHE-L367	-11401.6477	-11405.7669	
AHE-L368	-9634.7025	-9622.2448	
AHE-L371	-10560.8273	-10564.7111	
AHE-L372	-14793.4459	-14775.3365	
AHE-L377	-11801.3492	-11796.1735	
AHE-L379	-11343.6921	-11334.7481	
AHE-L381	-11327.5610	-11309.2877	
AHE-L382	-13278.1557	-13267.9004	
AHE-L386	-12576.4762	-12550.6840	
AHE-L389	-9818.5777	-9823.6353	
AHE-L39	-12775.1882	-12770.1566	
AHE-L390	-14075.1844	-14065.0141	
AHE-L394	-9837.9918	-9835.5988	
AHE-L395	-12740.8978	-12739.5522	
AHE-L397	-8456.7500	-8452.1936	
AHE-L40	-11617.7094	-11605.8391	
AHE-L400			
AHE-L401			
AHE-L42	-6141.7742	-6141.2273	
AHE-L49	-7799.7136	-7797.4427	
AHE-L52	-13858.8230	-13857.3985	
AHE-L55	-9543.2141	-9556.3294	
AHE-L56	-10788.1931	-10785.8033	
AHE-L57	-5742.8506	-5728.3572	
AHE-L61	-11580.5080	-11575.8202	
AHE-L67	-11832.6681	-11824.0196	
AHE-L75	-12596.2846	-12577.4838	
AHE-L76	-8646.7003	-8641.0974	
AHE-L80	-6173.8168	-6175.5994	
AHE-L84	-9814.5794	-9807.5221	
AHE-L87	-10752.6668	-10747.3138	
AHE-L88	-8638.5736	-8629.8212	
AHE-L93	-10867.6325	-10871.1041	
AHE-L96	-11190.4655	-11210.9813	
gene-AKAP9	-7287.6102	-7263.8520	
gene-BDNF	-4561.2474	-4551.7241	
gene-BMP2	-5544.2678	-5537.1776	
gene-ENC1	-8405.3938	-8400.5191	
gene-FSHR	-9685.7037	-9683.5350	
gene-GALR1	-6869.1683	-6857.8418	
gene-NGFB	-6558.2879	-6554.1233	
gene-PNN	-4825.0610	-4821.3360	
gene-SLC8A1	-10122.8359	-10110.6029	
uce-10	-1491.1468	-1483.9786	
uce-1003	-2161.5743	-2159.3061	
uce-1004	-2343.6364	-2339.4294	
uce-1005	-2112.6185	-2111.0901	
uce-1008	-3470.8529	-3478.2482	
uce-101	-4570.3244	-4565.9033	
uce-1010	-2863.6914	-2855.5849	
uce-1012	-3005.5455	-2997.3282	
uce-1013	-2714.3272	-2715.0436	
uce-1014	-3698.8096	-3699.9541	
uce-1017	-3974.9250	-3975.3433	
uce-1018	-2835.8564	-2835.3840	
uce-102	-3079.0585	-3078.3262	
uce-1021	-3647.0627	-3637.8750	
uce-1025	-2057.1564	-2052.9240	
uce-1026	-1981.7121	-1983.0776	
uce-1027	-2363.8846	-2362.5098	
uce-1029	-1994.4693	-1993.2098	
uce-103	-5966.1132	-5957.5060	
uce-1031	-2644.1204	-2637.1146	
uce-1034	-3750.8011	-3748.9815	
uce-1035	-2085.9769	-2079.8058	
uce-1036	-1889.3591	-1884.5913	
uce-1037	-1953.6019	-1950.2737	
uce-1038	-3781.4269	-3780.3150	
uce-1039	-2720.4301	-2712.1532	
uce-1040	-2541.8965	-2541.8723	
uce-1041	-4455.2203	-4458.4301	
uce-1043	-2562.6412	-2563.3210	
uce-1044	-2613.8482	-2614.6886	
uce-1047	-3340.3696	-3336.8566	
uce-1048	-3029.8791	-3026.7088	
uce-105	-828.4267	-828.6963	
uce-1050	-3614.7228	-3615.3840	
uce-1051	-3282.8972	-3275.1782	
uce-1052	-2758.3130	-2751.7053	
uce-1053	-3573.0395	-3575.8994	
uce-1054	-2880.8990	-2878.5564	
uce-1055	-2925.9938	-2924.3077	
uce-1056	-2538.7096	-2525.3393	
uce-1058	-2155.5151	-2151.6593	
uce-106	-3743.9427	-3741.4455	
uce-1060	-2565.0803	-2562.3328	
uce-1061	-3403.0510	-3400.0906	
uce-1062	-2409.5948	-2405.4605	
uce-1063	-4195.7624	-4195.7627	
uce-1064	-2013.4672	-2014.7453	
uce-1065	-2346.8477	-2340.9812	
uce-1068	-4403.2993	-4402.5798	
uce-1069	-2803.2578	-2801.2703	
uce-1070	-3748.6363	-3751.3380	
uce-1072	-4723.3652	-4726.0330	
uce-1077	-3606.5176	-3606.9290	
uce-1081	-2839.1955	-2838.5745	
uce-1083	-2973.8115	-2969.4362	
uce-1084	-1966.6638	-1959.3496	
uce-1085	-2875.2253	-2866.9812	
uce-1089	-2051.4361	-2049.5019	
uce-1090	-3877.8686	-3877.4435	
uce-1092	-2162.8429	-2162.6028	
uce-1093	-2920.6610	-2920.8705	
uce-1094	-3686.0687	-3681.9239	
uce-1098	-4251.8084	-4245.7438	
uce-11	-3923.1463	-3913.2692	
uce-110	-3926.7467	-3927.2470	
uce-1100	-3200.0555	-3196.9835	
uce-1101	-4405.1711	-4408.8498	
uce-1102	-2707.2718	-2700.2649	
uce-1107	-4062.3124	-4059.4604	
uce-111	-3633.3623	-3634.0237	
uce-1110	-3816.4904	-3815.6041	
uce-1113	-3113.3909	-3109.7623	
uce-1119	-2659.2392	-2657.0940	
uce-1120	-1830.0068	-1828.3468	
uce-1121	-2654.7874	-2657.7099	
uce-1122	-3447.7599	-3448.3736	
uce-1123	-4364.5922	-4359.3595	
uce-1126	-3620.5672	-3612.6801	
uce-1127	-2159.7195	-2154.6941	
uce-1128	-1500.3341	-1495.3501	
uce-1131	-4436.0421	-4437.6309	
uce-1133	-2943.5678	-2941.5802	
uce-1134	-2034.9119	-2034.6562	
uce-1135	-4550.6814	-4545.8402	
uce-1136	-2749.7335	-2745.0088	
uce-1138	-5078.8157	-5077.7901	
uce-1139	-2211.2627	-2207.9899	
uce-114	-2012.1775	-2011.8089	
uce-1141	-4383.7687	-4380.9987	
uce-1143	-3450.5027	-3451.2539	
uce-1148	-2550.0741	-2548.0887	
uce-1149	-2328.9357	-2326.4955	
uce-115	-3366.8880	-3367.2793	
uce-1150	-4406.2090	-4409.0456	
uce-1154	-4342.7741	-4340.7932	
uce-1155	-3176.7453	-3177.6342	
uce-1157	-1499.4684	-1504.4917	
uce-1158	-3725.5966	-3724.1853	
uce-1159	-3049.9738	-3041.5833	
uce-1161	-3088.4994	-3085.4639	
uce-1162	-3687.5359	-3690.7663	
uce-1163	-4134.4014	-4134.4554	
uce-1167	-2361.8598	-2359.3231	
uce-1168	-2280.1554	-2280.6210	
uce-1169	-3084.4856	-3083.6673	
uce-117	-1833.1032	-1830.4199	
uce-1170	-2706.0629	-2706.9832	
uce-1172	-4788.6760	-4784.8073	
uce-1173	-2470.6184	-2464.0823	
uce-1174	-4467.4869	-4473.4899	
uce-1176	-1169.3428	-1169.3422	
uce-1177	-1050.8193	-1050.8194	
uce-1178	-3686.3121	-3686.3533	
uce-1181	-3526.9693	-3525.8998	
uce-1182	-1494.7807	-1494.6408	
uce-1183	-2152.4009	-2151.2741	
uce-1185	-3899.3715	-3897.4648	
uce-1187	-3181.9111	-3179.7064	
uce-1188	-2851.1847	-2850.1619	
uce-119	-1157.6654	-1159.5531	
uce-1190	-3284.9272	-3284.0370	
uce-1191	-3331.6861	-3334.4772	
uce-1192	-2715.6313	-2716.6406	
uce-1193	-4193.4986	-4178.7816	
uce-1194	-5003.4817	-4998.2101	
uce-12	-3987.7391	-3980.5700	
uce-120	-2132.1360	-2129.4007	
uce-1200	-2869.6970	-2861.8852	
uce-1201	-2439.9628	-2435.4543	
uce-1202	-2906.6869	-2904.1446	
uce-1203	-3775.8561	-3770.1096	
uce-1204	-3676.2207	-3673.2342	
uce-1205	-2259.4485	-2259.9001	
uce-1206	-1439.5090	-1443.1435	
uce-1207	-2803.8034	-2800.6089	
uce-1209	-2734.0818	-2735.3483	
uce-121	-2476.8422	-2476.6956	
uce-1210	-3463.9836	-3455.6945	
uce-1211	-2906.7511	-2901.8570	
uce-1212	-1836.1498	-1841.7202	
uce-1215	-3421.3719	-3419.3413	
uce-1216	-3018.5567	-3021.6047	
uce-1217	-1009.6302	-1006.3991	
uce-1219	-1005.8404	-1008.3996	
uce-1222	-3214.1619	-3214.0986	
uce-1224	-3368.0836	-3361.9219	
uce-1225	-2111.0356	-2110.6282	
uce-1231	-2383.3569	-2383.4331	
uce-1232	-3466.8266	-3464.1951	
uce-1233	-1818.4260	-1823.3516	
uce-1234	-4738.4049	-4733.3995	
uce-1236	-4079.4169	-4074.2648	
uce-1239	-2941.1870	-2938.8103	
uce-124	-2401.3241	-2406.7767	
uce-1241	-3630.4369	-3628.1955	
uce-1242	-3065.2837	-3049.2964	
uce-1243	-2669.0303	-2670.8019	
uce-1245	-2266.5808	-2268.0083	
uce-1246	-3612.2229	-3606.3354	
uce-125	-2346.6199	-2339.2243	
uce-1250	-5361.8871	-5357.0796	
uce-1252	-2359.5579	-2359.5584	
uce-1253	-3950.1602	-3949.6159	
uce-1255	-3145.3587	-3144.8106	
uce-1256	-2027.9938	-2024.2876	
uce-1257	-2724.4962	-2717.7396	
uce-1259	-2794.5309	-2790.6855	
uce-1260	-4119.7177	-4108.9861	
uce-1263	-2654.8842	-2655.3010	
uce-1264	-3117.9295	-3114.3792	
uce-1265	-2003.6265	-2005.4404	
uce-1267	-3471.0409	-3470.6283	
uce-1268	-3163.4988	-3167.1636	
uce-127	-4550.8868	-4537.3473	
uce-1270	-2794.0590	-2796.7383	
uce-1271	-3676.6254	-3672.5966	
uce-1272	-4540.1470	-4540.1423	
uce-1276	-3245.3165	-3248.4512	
uce-1277	-2113.4968	-2110.1690	
uce-1278	-5230.3225	-5229.1797	
uce-128	-2400.8480	-2388.2481	
uce-1281	-4106.7190	-4105.2254	
uce-1285	-3075.7882	-3074.7460	
uce-1286	-2330.0807	-2330.8691	
uce-1288	-1941.7082	-1937.3221	
uce-129	-3901.7778	-3900.1055	
uce-1290	-3003.3661	-2998.1059	
uce-1291	-3255.3700	-3255.3700	
uce-1295	-3601.4558	-3598.7241	
