Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
uce-1003	-1172.09	-1169.20	-1169.02	-1169.08	-1168.97	
uce-1004	-1026.01	-1025.38	-1025.58	-1025.55	-1025.62	
uce-1005	-1517.44	-1513.63	-1513.71	-1513.83	-1513.38	
uce-101	-1215.98	-1206.13	-1205.93	-1206.05	-1206.12	
uce-1010	-1765.05	-1765.96	-1765.87	-1765.87	-1765.90	
uce-1012	-1647.57	-1620.69	-1620.22	-1623.99	-1620.42	
uce-1014	-1292.49	-1292.18	-1292.27	-1292.17	-1292.10	
uce-1017	-2071.72	-2077.84	-2077.98	-2077.45	-2078.00	
uce-1018	-1604.88	-1596.59	-1596.75	-1596.57	-1596.19	
uce-1021	-2527.50	-2514.42	-2518.06	-2517.64	-2513.43	
uce-1025	-943.55	-943.06	-942.68	-943.23	-943.36	
uce-1026	-671.43	-665.60	-665.67	-665.71	-665.44	
uce-1027	-1189.49	-1209.76	-1209.63	-1210.07	-1209.80	
uce-1029	-1713.43	-1712.79	-1711.95	-1713.96	-1714.60	
uce-1034	-2016.61	-2008.73	-2011.10	-2010.68	-2007.88	
uce-1035	-1226.93	-1228.10	-1228.56	-1228.13	-1227.86	
uce-1036	-1309.87	-1304.37	-1306.84	-1306.58	-1303.26	
uce-1037	-1432.08	-1435.83	-1435.69	-1435.89	-1435.48	
uce-1038	-2235.20	-2227.60	-2226.46	-2228.44	-2228.38	
uce-1039	-915.72	-914.25	-914.42	-914.35	-914.43	
uce-1040	-1427.14	-1421.54	-1421.60	-1421.90	-1421.33	
uce-1041	-955.34	-954.12	-954.36	-954.47	-954.04	
uce-1044	-1606.82	-1598.43	-1598.48	-1598.42	-1598.63	
uce-1047	-1565.76	-1559.03	-1560.39	-1561.01	-1558.28	
uce-1048	-1697.54	-1693.52	-1693.37	-1693.37	-1693.54	
uce-105	-2782.53	-2791.29	-2791.20	-2791.80	-2791.11	
uce-1050	-1483.78	-1475.86	-1474.94	-1476.25	-1476.41	
uce-1051	-1369.97	-1359.64	-1361.46	-1361.20	-1358.48	
uce-1052	-2004.55	-1999.05	-1998.97	-1998.87	-1998.50	
uce-1053	-1212.32	-1213.62	-1213.32	-1213.70	-1213.84	
uce-1054	-1408.46	-1414.08	-1414.23	-1414.11	-1414.12	
uce-1055	-1111.95	-1111.45	-1111.45	-1111.47	-1111.44	
uce-1056	-1332.76	-1320.10	-1319.98	-1319.97	-1320.01	
uce-1058	-1527.01	-1520.85	-1522.60	-1522.52	-1519.67	
uce-1059	-1522.29	-1522.66	-1522.79	-1522.76	-1522.78	
uce-106	-2516.14	-2510.18	-2509.06	-2512.66	-2513.24	
uce-1061	-1659.69	-1651.99	-1653.87	-1654.07	-1651.04	
uce-1062	-1141.24	-1142.20	-1142.39	-1142.57	-1142.11	
uce-1063	-1370.64	-1374.45	-1374.66	-1374.10	-1374.49	
uce-1065	-1401.29	-1406.89	-1406.80	-1406.78	-1407.40	
uce-1068	-1138.90	-1127.29	-1136.27	-1136.27	-1125.74	
uce-1069	-798.52	-795.53	-795.74	-795.61	-795.54	
uce-1070	-1754.98	-1771.44	-1771.59	-1771.58	-1771.62	
uce-1072	-1510.86	-1513.78	-1513.70	-1513.43	-1514.12	
uce-1077	-1947.97	-1947.25	-1947.11	-1947.08	-1947.27	
uce-1081	-1579.21	-1571.97	-1573.48	-1571.17	-1573.53	
uce-1084	-1878.16	-1885.87	-1888.06	-1887.72	-1884.84	
uce-1085	-1731.18	-1722.97	-1723.26	-1723.14	-1723.08	
uce-1088	-2170.23	-2154.34	-2158.20	-2155.79	-2153.62	
uce-1089	-1103.31	-1100.47	-1100.04	-1100.89	-1100.71	
