Locus	MEAN_COL_SCORE
uce-1003	0.982206	
uce-1004	0.992982	
uce-1005	0.889796	
uce-1010	0.922460	
uce-1012	0.918519	
uce-1014	0.982906	
uce-1017	0.801402	
uce-1018	0.963675	
uce-101	0.972705	
uce-1021	0.952514	
uce-1025	0.915663	
uce-1026	1.000000	
uce-1027	0.879668	
uce-1029	0.941748	
uce-1034	0.925134	
uce-1035	0.984043	
uce-1036	0.939940	
uce-1037	0.935961	
uce-1038	0.888715	
uce-1039	0.947020	
uce-1040	0.958128	
uce-1041	0.915014	
uce-1044	0.920988	
uce-1047	0.823529	
uce-1048	0.838852	
uce-1050	0.975336	
uce-1051	0.969849	
uce-1052	0.983900	
uce-1053	0.968539	
uce-1054	0.983871	
uce-1055	1.000000	
uce-1056	0.971129	
uce-1058	0.970350	
uce-1059	0.862805	
uce-105	0.729306	
uce-1061	0.978769	
uce-1062	0.962644	
uce-1063	0.986813	
uce-1065	0.836601	
uce-1068	0.963061	
uce-1069	0.947712	
uce-106	0.847518	
uce-1070	0.495215	
uce-1072	0.971609	
uce-1077	0.933002	
uce-1081	0.948370	
uce-1084	0.893910	
uce-1085	0.765306	
uce-1088	0.880829	
uce-1089	0.778589	
uce-1090	0.949474	
uce-1092	0.985782	
uce-1093	1.000000	
uce-1094	0.896030	
uce-1098	0.894273	
uce-1100	1.000000	
uce-1101	0.953247	
uce-1102	0.980630	
uce-1107	0.872390	
uce-110	0.785915	
uce-1110	0.985765	
uce-1113	0.841584	
uce-111	0.892754	
uce-1120	0.990544	
uce-1121	0.961240	
uce-1122	0.965517	
uce-1127	0.928105	
uce-1128	0.969925	
uce-1131	0.722591	
uce-1133	0.965174	
uce-1134	0.787466	
uce-1135	0.802057	
uce-1136	0.827160	
uce-1138	0.917808	
uce-1141	0.938073	
uce-1143	0.978056	
uce-1148	0.756137	
uce-1149	0.990741	
uce-114	0.764890	
uce-1150	0.969444	
uce-1154	0.984000	
uce-1157	0.966667	
uce-1159	0.826471	
uce-115	0.977612	
uce-1161	0.958738	
uce-1162	0.952381	
uce-1163	0.915929	
uce-1167	0.959677	
uce-1170	0.949109	
uce-1172	0.962343	
uce-1173	0.919390	
uce-1174	0.965000	
uce-1176	0.943925	
uce-1177	0.979943	
uce-1178	0.982922	
uce-117	0.947230	
uce-1181	0.952522	
uce-1182	0.826715	
uce-1183	0.912844	
uce-1185	0.900000	
uce-1187	0.944196	
uce-1188	0.940678	
uce-1190	0.946970	
uce-1191	0.962185	
uce-1193	0.914040	
uce-1194	0.951087	
uce-119	0.718905	
uce-11	0.925501	
uce-1200	1.000000	
uce-1201	0.947531	
uce-1202	0.970642	
uce-1203	0.857143	
uce-1204	0.985836	
uce-1205	0.836601	
uce-1206	0.981191	
uce-1207	0.908012	
uce-1209	0.984340	
uce-1210	0.963048	
uce-1211	0.969863	
uce-1212	0.930303	
uce-1215	0.961003	
uce-1216	1.000000	
uce-1217	0.963788	
uce-121	0.806452	
uce-1222	0.953125	
uce-1224	0.856102	
uce-1225	0.923628	
uce-1231	0.845506	
uce-1232	0.939638	
uce-1233	0.689189	
uce-1234	0.916067	
uce-1236	0.929204	
uce-1239	0.986842	
uce-1241	0.924051	
uce-1242	1.000000	
uce-1245	0.979310	
uce-1246	0.901919	
uce-124	0.882883	
uce-1250	0.907621	
uce-1251	0.801471	
uce-1252	0.925408	
uce-1253	0.982609	
uce-1255	0.916168	
uce-1256	0.810888	
uce-1257	1.000000	
uce-1259	0.871681	
uce-125	1.000000	
uce-1260	0.989011	
uce-1263	0.991429	
uce-1264	0.975275	
uce-1265	0.846682	
uce-1267	0.931734	
uce-1268	0.763441	
uce-1270	0.986631	
uce-1271	0.948586	
uce-1272	0.974576	
uce-1276	0.953488	
uce-1277	0.973523	
uce-1278	0.932679	
uce-127	0.759219	
uce-1281	1.000000	
uce-1285	0.937500	
uce-1288	0.895000	
uce-128	0.901515	
uce-1290	0.991935	
uce-1291	0.948980	
uce-1295	0.860412	
uce-1297	0.987531	
uce-1298	0.861646	
uce-1299	0.947658	
uce-129	0.982843	
uce-12	0.950131	
uce-1300	0.950530	
uce-1301	0.979167	
uce-1304	0.964353	
uce-1305	0.972632	
uce-1309	0.995423	
uce-1311	0.957494	
uce-1313	0.976103	
uce-1314	0.910624	
uce-1318	0.994667	
uce-1319	0.908676	
uce-1322	0.973896	
uce-1323	0.830898	
uce-1324	0.921569	
uce-1329	0.953317	
uce-132	0.764822	
uce-1333	0.975610	
uce-1334	0.915254	
uce-1335	0.716141	
uce-1336	0.992754	
uce-1339	0.737542	
uce-1342	0.996094	
uce-1345	0.894286	
uce-1346	0.989429	
uce-1348	0.969499	
uce-1349	0.960000	
uce-134	NA	
uce-1350	0.968831	
uce-1351	0.979275	
uce-1354	0.969613	
uce-1357	0.913761	
uce-1358	0.904290	
uce-1359	0.923280	
uce-1360	0.978836	
uce-1361	0.970760	
uce-1362	0.986072	
uce-1363	0.951338	
uce-1366	0.827830	
uce-1367	0.931953	
uce-1368	0.966463	
uce-136	0.994030	
uce-1371	0.697941	
uce-1374	0.926136	
uce-1375	0.922872	
uce-1376	1.000000	
uce-1378	0.923913	
uce-1381	0.967033	
uce-1383	0.950000	
uce-1385	0.967742	
uce-1389	0.954819	
uce-1390	1.000000	
uce-1392	0.912088	
uce-1394	0.983568	
uce-1395	0.913690	
uce-1397	0.929619	
uce-139	0.862745	
uce-1402	0.694656	
uce-1403	0.967822	
uce-1405	0.935430	
uce-1408	0.990385	
uce-1410	0.940299	
uce-1412	0.988938	
uce-1415	0.979167	
uce-1417	0.657459	
uce-1419	1.000000	
uce-1420	0.666667	
uce-1422	0.714567	
uce-1423	0.975904	
uce-1425	0.992523	
uce-1427	0.983333	
uce-142	1.000000	
uce-1430	0.932331	
uce-1434	0.784091	
uce-1435	0.747981	
uce-1438	0.847403	
uce-143	0.983221	
uce-1442	0.995181	
uce-1446	0.963687	
uce-1447	0.846797	
uce-144	0.952522	
uce-1450	0.788136	
uce-1451	0.822989	
uce-1453	1.000000	
uce-1454	0.951271	
uce-1456	1.000000	
uce-1457	0.976109	
uce-1458	0.981481	
uce-1462	0.965885	
uce-1463	0.989418	
uce-1466	0.583691	
uce-1467	0.886544	
uce-1468	1.000000	
uce-1469	0.990074	
uce-146	0.953586	
uce-1470	0.989437	
uce-1471	0.892768	
uce-1474	0.979358	
uce-1476	0.969780	
uce-1478	0.897260	
uce-147	0.846608	
uce-1480	0.883212	
uce-1482	0.886000	
uce-1483	0.967249	
uce-1484	0.956113	
uce-1485	0.841905	
uce-1488	0.950000	
uce-1489	0.836323	
uce-148	0.506616	
uce-1490	0.969188	
uce-1492	0.986985	
uce-1497	0.885827	
uce-1499	0.970588	
uce-149	0.990868	
uce-14	0.992933	
uce-1500	0.980728	
uce-1501	0.975824	
uce-1504	0.753731	
uce-1506	0.969565	
uce-1508	0.947712	
uce-1509	0.934884	
uce-1512	0.802326	
uce-1514	0.949339	
uce-1520	0.974937	
uce-1523	0.913232	
uce-1526	0.961749	
uce-1528	0.856928	
uce-1529	0.980892	
uce-1530	0.952381	
uce-1531	0.823529	
uce-1533	0.944020	
uce-1535	0.968831	
uce-1538	0.939394	
uce-1539	0.876404	
uce-153	0.900277	
uce-1540	0.968391	
uce-1544	0.992063	
uce-1545	0.886105	
uce-1547	0.752914	
uce-154	0.870110	
uce-1550	0.763761	
uce-1555	0.924171	
uce-1556	0.992248	
uce-1558	0.939227	
uce-1560	0.915309	
uce-1561	1.000000	
uce-1562	0.958225	
uce-1563	0.988235	
uce-1564	0.953947	
uce-1565	0.773157	
uce-1568	0.857923	
