Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
uce-1003	-1030.6422	-1028.8624	-1028.8626	-1028.8628	-1028.8625	
uce-1004	-912.5645	-912.5638	-912.5642	-912.5642	-912.5640	
uce-1005	-1401.5621	-1398.5133	-1398.5138	-1398.5138	-1398.5136	
uce-101	-1104.2732	-1095.7848	-1095.7848	-1095.7850	-1095.7848	
uce-1010	-1613.2573	-1614.6211	-1614.6212	-1614.6207	-1614.6210	
uce-1012	-1477.1033	-1459.4347	-1459.4350	-1461.4493	-1460.9691	
uce-1014	-1163.2832	-1163.0839	-1163.0842	-1163.0846	-1163.0843	
uce-1017	-1865.8790	-1869.9080	-1869.9076	-1869.9079	-1869.9076	
uce-1018	-1418.6821	-1413.8516	-1413.8520	-1413.8520	-1413.8515	
uce-1021	-2344.7336	-2336.5760	-2338.8162	-2338.8161	-2336.5764	
uce-1025	-858.7823	-858.8937	-858.8938	-858.8943	-858.8945	
uce-1026	-596.3310	-594.2000	-594.2000	-594.2001	-594.2006	
uce-1027	-1031.2709	-1046.0585	-1046.0585	-1046.0588	-1046.0587	
uce-1029	-1573.0410	-1577.4216	-1578.0169	-1577.4213	-1578.0173	
uce-1034	-1817.7548	-1814.1668	-1815.9970	-1815.9969	-1814.1670	
uce-1035	-1133.3148	-1132.1370	-1132.1375	-1132.1373	-1132.1374	
uce-1036	-1184.6539	-1181.7340	-1183.6993	-1183.6991	-1181.7338	
uce-1037	-1265.1537	-1268.9049	-1268.9052	-1268.9051	-1268.9050	
uce-1038	-1977.8685	-1971.3987	-1971.3986	-1973.2990	-1973.2991	
uce-1039	-820.7751	-819.5146	-819.5145	-819.5143	-819.5146	
uce-1040	-1298.8254	-1296.0815	-1296.0811	-1296.0821	-1296.0814	
uce-1041	-849.1457	-849.2113	-849.2864	-849.2867	-849.2112	
uce-1044	-1418.3523	-1416.8799	-1416.8805	-1416.8801	-1416.8804	
uce-1047	-1409.7247	-1407.3578	-1410.0436	-1410.0436	-1407.3579	
uce-1048	-1557.0742	-1555.8478	-1555.8479	-1555.8476	-1555.8476	
uce-105	-2575.1323	-2578.2765	-2578.2765	-2578.2765	-2578.2764	
uce-1050	-1340.0836	-1335.3653	-1335.3654	-1336.1128	-1336.1131	
uce-1051	-1238.8635	-1232.2111	-1234.6305	-1234.6302	-1232.2111	
uce-1052	-1827.2099	-1825.3059	-1825.3053	-1825.3059	-1825.3062	
uce-1053	-1091.7011	-1093.8513	-1093.8513	-1093.8522	-1093.8524	
uce-1054	-1196.1239	-1197.7378	-1197.7380	-1197.7381	-1197.7379	
uce-1055	-1008.3782	-1008.3785	-1008.3784	-1008.3782	-1008.3784	
uce-1056	-1199.9085	-1191.1659	-1191.1660	-1191.1655	-1191.1651	
uce-1058	-1393.4325	-1387.2918	-1387.3083	-1387.3082	-1387.2920	
uce-1059	-1406.1478	-1406.3264	-1406.3267	-1406.3265	-1406.3266	
uce-106	-2343.2840	-2343.0107	-2343.0108	-2344.9124	-2344.9119	
uce-1061	-1497.3045	-1492.4192	-1494.2600	-1494.2606	-1492.4190	
uce-1062	-1015.1370	-1015.5628	-1015.5635	-1015.5696	-1015.5633	
uce-1063	-1254.8789	-1259.3447	-1259.3450	-1259.3445	-1259.3449	
uce-1065	-1254.2180	-1252.6258	-1252.6258	-1252.6268	-1252.6265	
uce-1068	-1024.8978	-1016.5297	-1022.4130	-1022.4125	-1016.5305	
uce-1069	-733.7336	-731.7063	-731.7067	-731.7069	-731.7068	
uce-1070	-1606.0762	-1620.6358	-1620.6363	-1620.6349	-1620.6357	
