Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
Reeder_DNA_ADNP	-15081.6603	-15078.7704	-15078.8942	-15078.8779	-15078.7683	
Reeder_DNA_AHR	-12513.9590	-12492.4290	-12492.4299	-12492.4290	-12492.4307	
Reeder_DNA_AKAP9	-27656.7176	-27602.5118	-27604.2014	-27605.4502	-27602.5066	
Reeder_DNA_BACH1	-28921.6627	-28893.3938	-28897.8307	-28897.7979	-28893.3945	
Reeder_DNA_BDNF	-11065.9713	-11050.7071	-11050.7053	-11051.0946	-11052.8364	
Reeder_DNA_BHLHB2	-15464.5612	-15463.5324	-15468.3789	-15468.3795	-15463.5316	
Reeder_DNA_BMP2	-14645.1914	-14630.3577	-14632.9829	-14630.3597	-14633.1920	
Reeder_DNA_CAND1	-11673.0128	-11656.2420	-11656.4535	-11656.4538	-11656.2434	
Reeder_DNA_CARD4	-31506.4479	-31474.7269	-31474.7290	-31480.8193	-31476.0028	
Reeder_DNA_CILP	-45198.7532	-45188.6669	-45188.6657	-45189.0861	-45189.0311	
Reeder_DNA_cMos	-18952.0211	-18935.6109	-18935.6106	-18936.2611	-18936.2611	
Reeder_DNA_CXCR4	-20607.5235	-20601.7781	-20604.2676	-20601.7788	-20604.2654	
Reeder_DNA_DLL1	-12360.4305	-12339.9681	-12343.4283	-12343.0342	-12339.9688	
Reeder_DNA_ECEL	-17168.1079	-17159.7328	-17161.9311	-17161.9404	-17159.7338	
Reeder_DNA_ENC1	-15198.5659	-15174.1367	-15174.4859	-15174.1360	-15174.5719	
Reeder_DNA_FSHR	-18236.3624	-18233.7087	-18235.1735	-18235.1756	-18233.1969	
Reeder_DNA_FSTL5	-11238.1363	-11219.3519	-11219.3530	-11219.3513	-11219.3523	
Reeder_DNA_GALR1	-9818.1620	-9810.1125	-9810.9901	-9810.1104	-9810.8794	
Reeder_DNA_GHSR	-9092.7399	-9076.0966	-9076.0965	-9077.2625	-9077.0215	
Reeder_DNA_GPR37	-10809.6452	-10803.8309	-10804.7762	-10803.8322	-10804.7762	
Reeder_DNA_HLCS	-19592.9385	-19581.5596	-19581.5598	-19581.5608	-19581.5613	
Reeder_DNA_INHIBA	-15884.8789	-15877.0341	-15882.1326	-15880.6727	-15877.0324	
Reeder_DNA_LRRN1	-12852.1018	-12836.3193	-12836.4134	-12836.4126	-12836.3190	
Reeder_DNA_LZTSS1	-12187.2621	-12171.3983	-12171.3981	-12172.6512	-12173.1857	
Reeder_DNA_MKL1	-29997.0018	-29965.7033	-29966.3168	-29967.2090	-29965.7022	
Reeder_DNA_MLL3	-26992.6187	-26957.7683	-26957.7671	-26959.7618	-26959.6852	
Reeder_DNA_MSH6	-20913.5028	-20892.8139	-20894.5045	-20894.0755	-20892.8126	
Reeder_DNA_ND2	-87927.6397	-87924.0314	-87925.0094	-87926.8265	-87925.8802	
Reeder_DNA_NGFB	-16914.4078	-16900.8945	-16900.8953	-16900.8943	-16900.8945	
Reeder_DNA_NKTR	-43313.0190	-43285.1004	-43285.1008	-43285.9972	-43285.9968	
Reeder_DNA_NTF3	-15237.1103	-15231.0443	-15232.7798	-15233.3401	-15231.0446	
Reeder_DNA_PNN	-26548.6980	-26513.8221	-26515.2159	-26513.8234	-26515.8497	
Reeder_DNA_PRLR	-22362.3477	-22334.9192	-22337.1900	-22334.9224	-22338.3911	
Reeder_DNA_PTGER4	-10275.8331	-10282.0356	-10282.0361	-10283.7730	-10283.7724	
Reeder_DNA_PTPN	-19960.2804	-19952.0848	-19952.1994	-19952.2375	-19952.3657	
Reeder_DNA_R35	-24939.4691	-24913.6994	-24913.6983	-24918.2922	-24917.2285	
Reeder_DNA_RAG1	-25665.3303	-25647.2286	-25647.3569	-25647.2293	-25647.3570	
Reeder_DNA_SINCAIP	-12590.5999	-12578.4238	-12578.5765	-12578.9553	-12578.4239	
Reeder_DNA_SLC30A1	-15034.3665	-15025.9327	-15025.9325	-15025.9321	-15025.9323	
Reeder_DNA_SLC8A1	-21024.7101	-20986.5436	-20988.4518	-20986.5425	-20988.3544	
Reeder_DNA_SLC8A3	-22717.6170	-22705.2768	-22705.2754	-22707.0138	-22705.9030	
Reeder_DNA_TRAF6	-19061.0657	-19027.0720	-19027.0723	-19029.4953	-19029.4983	
Reeder_DNA_UBN1	-21937.0760	-21908.8901	-21908.8906	-21913.6637	-21913.6685	
Reeder_DNA_VCPIP1	-15993.9553	-15971.9403	-15974.3014	-15971.9431	-15973.9162	
Reeder_DNA_ZEB2	-14043.2041	-14032.0666	-14033.0049	-14032.3850	-14032.9959	
Reeder_DNA_ZFP36L1	-11617.5670	-11620.2384	-11620.2392	-11620.4442	-11620.4513	
