Locus	MEAN_COL_SCORE
T212_L100	0.891907	
T212_L101	0.955891	
T212_L102	0.943122	
T212_L103	0.885895	
T212_L104	0.874794	
T212_L105	0.940280	
T212_L106	0.786109	
T212_L107	0.891237	
T212_L108	0.769090	
T212_L109	0.965495	
T212_L10	0.771233	
T212_L110	0.866294	
T212_L111	0.956556	
T212_L112	0.984157	
T212_L113	0.803699	
T212_L114	0.862722	
T212_L115	0.985401	
T212_L116	0.955169	
T212_L117	0.960620	
T212_L118	0.752401	
T212_L119	0.912340	
T212_L11	0.869705	
T212_L120	0.966006	
T212_L121	0.972711	
T212_L122	0.843201	
T212_L123	0.943844	
T212_L124	0.968234	
T212_L125	0.767737	
T212_L126	0.852915	
T212_L127	0.914373	
T212_L128	0.803413	
T212_L129	0.924949	
T212_L12	0.988081	
T212_L130	0.964662	
T212_L131	0.937500	
T212_L132	0.991389	
T212_L133	0.990000	
T212_L134	0.974246	
T212_L135	0.906846	
T212_L136	0.833166	
T212_L137	0.846964	
T212_L138	0.709005	
T212_L139	0.876157	
T212_L13	0.914801	
T212_L140	0.883738	
T212_L141	0.990619	
T212_L142	0.832636	
T212_L143	0.837563	
T212_L144	0.851446	
T212_L145	0.886759	
T212_L146	0.765778	
T212_L147	0.900667	
T212_L148	0.900120	
T212_L149	0.893829	
T212_L14	0.943554	
T212_L150	0.897264	
T212_L151	0.918222	
T212_L152	0.879133	
T212_L153	0.855434	
T212_L154	0.906615	
T212_L155	0.937416	
T212_L156	0.943329	
T212_L157	0.965765	
T212_L158	0.988926	
T212_L159	0.866091	
T212_L15	0.898331	
T212_L160	0.868586	
T212_L161	0.948673	
T212_L162	0.955273	
T212_L164	0.929366	
T212_L168	0.852231	
T212_L169	0.929794	
T212_L16	0.980923	
T212_L170	0.961296	
T212_L171	0.965217	
T212_L172	0.834755	
T212_L173	0.891117	
T212_L174	0.650485	
T212_L175	0.759248	
T212_L176	0.934729	
T212_L177	0.912562	
T212_L178	0.885902	
T212_L179	0.971815	
T212_L17	0.990469	
T212_L180	0.817470	
T212_L181	0.794521	
T212_L182	0.964922	
T212_L183	0.876965	
T212_L184	0.949198	
T212_L185	0.888136	
T212_L186	0.860542	
T212_L187	0.882904	
T212_L188	0.839909	
T212_L189	0.942547	
T212_L18	NA	
T212_L190	0.962577	
T212_L191	0.877287	
T212_L192	0.890523	
T212_L193	0.900302	
T212_L194	0.953311	
T212_L195	0.916667	
T212_L196	0.931467	
T212_L197	0.703894	
T212_L198	0.911330	
T212_L199	0.866324	
T212_L19	0.978929	
T212_L1	0.891707	
T212_L200	0.709591	
T212_L201	0.863418	
T212_L202	0.935976	
T212_L203	0.951572	
T212_L204	NA	
T212_L205	0.811111	
T212_L206	0.878009	
T212_L207	0.979506	
T212_L208	0.950032	
T212_L209	0.863556	
T212_L20	0.989510	
T212_L210	0.936556	
