Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L1	-9464.21	-9458.88	-9473.53	-9471.27	-9456.25	
AHE-L102	-15989.97	-15971.31	-15984.00	-15986.85	-15970.20	
AHE-L104	-13367.45	-13346.53	-13351.14	-13346.98	-13349.17	
AHE-L105	-12015.58	-12034.94	-12035.51	-12038.46	-12034.77	
AHE-L106	-13506.68	-13504.68	-13515.34	-13515.85	-13505.37	
AHE-L108	-7038.84	-7046.98	-7057.56	-7056.89	-7046.29	
AHE-L11	-15731.80	-15740.97	-15749.74	-15749.48	-15740.88	
AHE-L111	-9011.00	-9018.06	-9038.33	-9037.60	-9016.06	
AHE-L112	-13647.61	-13639.13	-13646.60	-13648.77	-13637.68	
AHE-L114	-12555.14	-12602.73	-12628.55	-12626.63	-12603.84	
AHE-L118	-12833.77	-12837.57	-12837.29	-12835.84	-12835.43	
AHE-L119	-20431.32	-20445.41	-20442.31	-20446.98	-20444.93	
AHE-L12	-12698.47	-12690.00	-12691.56	-12688.57	-12689.50	
AHE-L123	-15244.35	-15246.96	-15250.13	-15250.41	-15246.62	
AHE-L124	-11678.84	-11691.31	-11689.02	-11691.40	-11690.14	
AHE-L125	-15354.79	-15356.75	-15358.52	-15359.17	-15354.06	
AHE-L129	-17186.49	-17164.56	-17163.07	-17167.79	-17166.33	
AHE-L13	-12814.62	-12818.85	-12824.20	-12826.52	-12817.74	
AHE-L130	-15185.69	-15154.98	-15154.80	-15156.46	-15156.64	
AHE-L135	-17414.73	-17377.90	-17374.69	-17379.52	-17381.43	
AHE-L14	-14955.61	-14960.17	-14960.95	-14961.10	-14958.31	
AHE-L142	-8815.56	-8820.54	-8823.63	-8822.77	-8819.65	
AHE-L144	-14826.08	-14780.86	-14786.82	-14781.88	-14785.01	
AHE-L145	-15057.01	-15066.91	-15067.18	-15071.71	-15067.64	
AHE-L146	-14437.57	-14450.87	-14454.02	-14452.91	-14448.47	
AHE-L148	-17119.25	-17126.35	-17128.15	-17123.12	-17127.26	
AHE-L15	-13680.43	-13685.99	-13700.05	-13699.81	-13686.85	
AHE-L152	-13027.08	-13011.60	-13017.63	-13014.83	-13010.38	
AHE-L154	-11441.46	-11449.26	-11457.81	-11458.02	-11448.04	
AHE-L155	-11648.26	-11647.74	-11651.03	-11647.61	-11646.98	
AHE-L156	-12644.29	-12649.62	-12656.83	-12654.26	-12648.86	
AHE-L158	-19545.34	-19575.53	-19573.34	-19576.89	-19577.61	
AHE-L159	-14412.88	-14407.71	-14422.05	-14418.74	-14407.11	
AHE-L16	-14031.05	-14055.20	-14065.08	-14064.97	-14055.79	
AHE-L160	-14677.92	-14680.33	-14682.84	-14683.85	-14679.58	
AHE-L164	-13834.08	-13840.17	-13842.49	-13845.35	-13838.87	
AHE-L165	-12909.91	-12873.75	-12874.83	-12874.58	-12875.66	
AHE-L17	-13467.54	-13475.43	-13484.74	-13485.96	-13475.04	
AHE-L170	-14740.70	-14763.93	-14763.16	-14775.52	-14763.55	
AHE-L171	-10015.58	-10007.37	-10009.86	-10010.61	-10004.48	
AHE-L172	-14666.61	-14681.28	-14693.68	-14693.82	-14680.60	
AHE-L173	-7812.36	-7797.41	-7800.54	-7800.49	-7798.26	
AHE-L176	-14036.29	-14025.14	-14029.93	-14029.26	-14025.41	
AHE-L177	-14515.18	-14522.44	-14528.72	-14528.31	-14522.06	
AHE-L178	-9534.33	-9544.57	-9549.50	-9550.36	-9544.47	
AHE-L179	-15674.25	-15680.56	-15694.46	-15692.65	-15680.66	
AHE-L18	-16435.54	-16424.28	-16441.56	-16439.22	-16422.90	
AHE-L180	-13368.64	-13344.58	-13345.19	-13343.86	-13344.99	
AHE-L182	-11888.79	-11887.15	-11890.13	-11888.34	-11885.86	
AHE-L184	-11057.09	-11032.53	-11046.92	-11030.66	-11043.74	
AHE-L185	-16860.88	-16878.01	-16879.80	-16880.58	-16878.36	
AHE-L187	-12034.48	-12038.74	-12039.13	-12036.61	-12037.53	
AHE-L188	-16673.44	-16669.35	-16675.46	-16674.40	-16666.35	
AHE-L189	-9031.27	-9035.56	-9036.92	-9034.51	-9034.19	
AHE-L19	-15854.82	-15868.36	-15877.15	-15868.35	-15868.18	
AHE-L190	-9507.98	-9519.16	-9522.80	-9524.98	-9518.90	
AHE-L191	-11808.85	-11813.77	-11827.58	-11828.02	-11812.15	
AHE-L192	-11027.61	-11024.19	-11024.37	-11029.00	-11028.38	
AHE-L193	-12212.99	-12208.45	-12207.77	-12211.83	-12214.63	
AHE-L194	-1843.77	-1847.57	-1849.86	-1852.20	-1846.43	
AHE-L195	-3404.16	-3412.09	-3411.71	-3412.69	-3412.57	
AHE-L2	-2852.40	-2877.99	-2906.54	-2906.72	-2876.68	
AHE-L20	-14667.61	-14672.68	-14673.83	-14677.21	-14670.17	
AHE-L200	-14208.54	-14147.43	-14145.13	-14153.37	-14155.65	
AHE-L203	-14879.91	-14889.10	-14893.12	-14890.45	-14886.84	
AHE-L204	-6542.87	-6547.42	-6552.87	-6552.52	-6545.29	
AHE-L205	-20307.08	-20297.70	-20313.63	-20314.95	-20296.14	
AHE-L206	-18812.86	-18814.22	-18817.32	-18818.41	-18812.18	
AHE-L207	-16614.17	-16600.24	-16611.20	-16613.81	-16599.84	
AHE-L208	-14402.77	-14417.45	-14429.17	-14428.26	-14416.72	
AHE-L210	-18927.17	-18937.81	-18950.40	-18951.12	-18935.42	
AHE-L211	-16856.62	-16873.72	-16914.71	-16911.88	-16873.64	
AHE-L214	-15223.17	-15237.35	-15241.11	-15239.40	-15234.42	
AHE-L215	-14140.75	-14084.55	-14084.69	-14087.27	-14084.84	
AHE-L219	-16487.34	-16496.73	-16510.09	-16508.93	-16494.93	
AHE-L22	-12902.76	-12905.75	-12907.46	-12906.06	-12905.48	
AHE-L220	-12360.08	-12380.76	-12386.86	-12387.40	-12379.41	
AHE-L221	-18119.53	-18119.16	-18123.53	-18122.20	-18120.63	
AHE-L222	-15937.54	-15930.04	-15936.37	-15937.25	-15928.12	
AHE-L223	-4286.80	-4285.55	-4287.07	-4287.40	-4286.53	
AHE-L224	-13521.22	-13525.48	-13528.14	-13528.73	-13525.59	
AHE-L225	-17644.23	-17646.58	-17658.62	-17656.17	-17644.80	
AHE-L226	-12972.53	-12974.47	-12977.58	-12974.91	-12973.72	
AHE-L23	-11490.94	-11510.74	-11532.97	-11536.43	-11510.52	
AHE-L231	-12601.91	-12599.98	-12608.99	-12607.69	-12598.44	
AHE-L232	-11989.51	-12004.42	-12019.90	-12018.43	-12001.34	
AHE-L24	-18810.18	-18794.00	-18792.15	-18796.86	-18795.29	
AHE-L241	-14771.41	-14765.03	-14766.56	-14768.69	-14761.32	
AHE-L243	-13664.73	-13600.90	-13611.58	-13612.87	-13600.46	
AHE-L244	-9084.11	-9052.82	-9050.17	-9054.17	-9054.11	
AHE-L245	-13576.48	-13546.02	-13546.05	-13548.24	-13546.52	
AHE-L25	-11942.87	-11931.12	-11938.28	-11942.28	-11928.94	
AHE-L250	-14762.35	-14823.02	-14823.08	-14826.20	-14821.10	
AHE-L256	-6161.98	-6174.16	-6175.02	-6177.97	-6172.56	
