Locus	MEAN_COL_SCORE
AHE-L102	0.992380	
AHE-L104	0.971884	
AHE-L105	0.996383	
AHE-L112	0.979895	
AHE-L118	0.986674	
AHE-L119	0.994768	
AHE-L11	0.982596	
AHE-L123	0.954864	
AHE-L125	0.991020	
AHE-L129	0.966858	
AHE-L12	0.962807	
AHE-L131	0.961259	
AHE-L135	0.955224	
AHE-L13	0.828140	
AHE-L144	0.914719	
AHE-L145	0.991892	
AHE-L148	0.949223	
AHE-L14	0.919818	
AHE-L152	0.997579	
AHE-L155	0.980373	
AHE-L158	0.997253	
AHE-L164	0.977727	
AHE-L165	0.995301	
AHE-L170	0.989060	
AHE-L172	0.984615	
AHE-L173	0.929825	
AHE-L176	0.978877	
AHE-L177	0.955665	
AHE-L178	0.997899	
AHE-L180	0.960199	
AHE-L182	0.954704	
AHE-L183	0.995803	
AHE-L184	1.000000	
AHE-L185	0.951393	
AHE-L188	0.989926	
AHE-L189	1.000000	
AHE-L192	0.968771	
AHE-L193	0.998058	
AHE-L196	0.980033	
AHE-L19	0.983374	
AHE-L1	0.995054	
AHE-L200	0.983271	
AHE-L203	0.997473	
AHE-L204	0.962963	
AHE-L205	0.973416	
AHE-L206	0.994530	
AHE-L207	0.991442	
AHE-L20	0.987805	
AHE-L210	0.967722	
AHE-L212	0.923926	
AHE-L215	1.000000	
AHE-L221	0.940171	
AHE-L222	0.979712	
AHE-L224	0.986934	
AHE-L225	0.993209	
AHE-L228	1.000000	
AHE-L229	0.975501	
AHE-L22	0.992598	
AHE-L231	0.979420	
AHE-L241	0.929919	
AHE-L243	0.994983	
AHE-L244	0.984848	
AHE-L245	0.962756	
AHE-L24	0.986624	
AHE-L250	0.981881	
AHE-L256	0.935172	
AHE-L259	0.998776	
AHE-L25	0.951104	
AHE-L260	0.998871	
AHE-L261	0.944186	
AHE-L264	0.982370	
AHE-L265	0.956034	
AHE-L267	0.996214	
AHE-L269	0.998779	
AHE-L271	1.000000	
AHE-L272	1.000000	
AHE-L273	0.998659	
AHE-L276	0.977661	
AHE-L282	0.969605	
AHE-L283	0.983832	
AHE-L284	0.972133	
AHE-L286	1.000000	
AHE-L288	0.967419	
AHE-L289	0.995028	
AHE-L28	0.967601	
AHE-L292	0.886598	
AHE-L295	0.995859	
AHE-L296	0.998610	
AHE-L297	0.952534	
AHE-L29	0.990577	
AHE-L301	1.000000	
AHE-L305	0.968918	
AHE-L306	0.992233	
AHE-L309	1.000000	
AHE-L30	0.986047	
AHE-L314	0.965564	
AHE-L315	0.994565	
AHE-L317	0.942075	
AHE-L322	0.980371	
AHE-L326	0.986188	
AHE-L327	0.994770	
AHE-L333	0.977483	
