Locus	MEAN_COL_SCORE
Reeder_DNA_ADNP	0.851990	
Reeder_DNA_AHR	0.787356	
Reeder_DNA_AKAP9	0.865969	
Reeder_DNA_BACH1	0.803571	
Reeder_DNA_BDNF	0.923300	
Reeder_DNA_BHLHB2	0.919793	
Reeder_DNA_BMP2	0.976852	
Reeder_DNA_CAND1	1.000000	
Reeder_DNA_CARD4	0.923720	
Reeder_DNA_CILP	0.954825	
Reeder_DNA_cMos	0.942761	
Reeder_DNA_CXCR4	0.949401	
Reeder_DNA_DLL1	0.951641	
Reeder_DNA_ECEL	0.817406	
Reeder_DNA_ENC1	0.997748	
Reeder_DNA_FSHR	0.997344	
Reeder_DNA_FSTL5	1.000000	
Reeder_DNA_GALR1	0.985816	
Reeder_DNA_GHSR	1.000000	
Reeder_DNA_GPR37	0.996071	
Reeder_DNA_HLCS	0.902357	
Reeder_DNA_INHIBA	0.924731	
Reeder_DNA_LRRN1	0.992658	
Reeder_DNA_LZTSS1	0.872302	
Reeder_DNA_MKL1	0.823638	
Reeder_DNA_MLL3	0.621622	
Reeder_DNA_MSH6	0.947368	
Reeder_DNA_ND2	0.853636	
Reeder_DNA_NGFB	0.908027	
Reeder_DNA_NKTR	0.742182	
Reeder_DNA_NTF3	0.901515	
Reeder_DNA_PNN	0.681780	
Reeder_DNA_PRLR	0.823248	
Reeder_DNA_PTGER4	1.000000	
Reeder_DNA_PTPN	0.804286	
Reeder_DNA_R35	0.883065	
Reeder_DNA_RAG1	0.991751	
Reeder_DNA_SINCAIP	0.915663	
Reeder_DNA_SLC30A1	0.952128	
Reeder_DNA_SLC8A1	0.993976	
Reeder_DNA_SLC8A3	0.985507	
Reeder_DNA_TRAF6	0.911977	
Reeder_DNA_UBN1	0.768392	
Reeder_DNA_VCPIP1	0.978777	
Reeder_DNA_ZEB2	0.984181	
Reeder_DNA_ZFP36L1	0.962357	
